,I_e,I_i,#timesteps,#nodes
0,0.3500000000000001,-0.85,9022.0,68
0,0.4000000000000001,-0.85,9398.0,65
0,0.4500000000000002,-0.85,8526.0,54
0,0.5,-0.85,10608.0,69
0,0.55,-0.85,18761.0,115
0,-0.55,-0.8,1584.0,0
0,-0.5,-0.8,2351.0,3
0,-0.45,-0.8,8007.0,52
0,-0.3999999999999999,-0.8,7813.0,53
0,-0.35,-0.8,7553.0,52
0,-0.29999999999999993,-0.8,7588.0,54
0,-0.25,-0.8,7364.0,53
0,-0.2,-0.8,6903.0,52
0,-0.1499999999999999,-0.8,7088.0,43
0,-0.09999999999999998,-0.8,7041.0,51
0,-0.04999999999999993,-0.8,6720.0,50
0,0.0,-0.8,6923.0,51
0,0.05000000000000005,-0.8,6642.0,51
0,0.10000000000000007,-0.8,6953.0,43
0,0.15000000000000013,-0.8,7378.0,44
0,0.20000000000000015,-0.8,7435.0,44
0,0.25,-0.8,7479.0,52
0,0.30000000000000004,-0.8,7596.0,53
0,0.3500000000000001,-0.8,7839.0,52
0,0.4000000000000001,-0.8,28966.0,53
0,0.4500000000000002,-0.8,9803.0,64
0,0.5,-0.8,10524.0,68
0,0.55,-0.8,18359.0,116
0,-0.5,-0.75,2266.0,3
0,-0.45,-0.75,6400.0,11
0,-0.3999999999999999,-0.75,7914.0,54
0,-0.35,-0.75,7690.0,54
0,-0.29999999999999993,-0.75,7491.0,52
0,-0.25,-0.75,7505.0,56
0,-0.2,-0.75,7076.0,50
0,-0.1499999999999999,-0.75,7031.0,43
0,-0.09999999999999998,-0.75,7116.0,53
0,-0.04999999999999993,-0.75,7014.0,51
0,0.0,-0.75,6517.0,51
0,0.05000000000000005,-0.75,6734.0,51
0,0.10000000000000007,-0.75,7003.0,50
0,0.15000000000000013,-0.75,7300.0,43
0,0.20000000000000015,-0.75,7420.0,44
0,0.25,-0.75,7423.0,52
0,0.30000000000000004,-0.75,7507.0,52
0,0.3500000000000001,-0.75,7765.0,52
0,0.4000000000000001,-0.75,26747.0,54
0,0.4500000000000002,-0.75,9587.0,64
0,0.5,-0.75,10243.0,66
0,0.55,-0.75,11133.0,67
0,0.6000000000000001,-0.75,31990.0,51
0,-0.45,-0.7,3051.0,3
0,-0.3999999999999999,-0.7,8000.0,53
0,-0.35,-0.7,7795.0,53
0,-0.29999999999999993,-0.7,7520.0,52
0,-0.25,-0.7,7479.0,52
0,-0.2,-0.7,7067.0,52
0,-0.1499999999999999,-0.7,6845.0,54
0,-0.09999999999999998,-0.7,6710.0,53
0,-0.04999999999999993,-0.7,6939.0,51
0,0.0,-0.7,6818.0,50
0,0.05000000000000005,-0.7,7001.0,42
0,0.10000000000000007,-0.7,6750.0,51
0,0.15000000000000013,-0.7,7195.0,42
0,0.20000000000000015,-0.7,7390.0,43
0,0.25,-0.7,7511.0,53
0,0.30000000000000004,-0.7,7478.0,52
0,0.3500000000000001,-0.7,7672.0,52
0,0.4000000000000001,-0.7,9053.0,68
0,0.4500000000000002,-0.7,9410.0,65
0,0.5,-0.7,10057.0,64
0,0.55,-0.7,10662.0,71
0,0.6000000000000001,-0.7,18667.0,116
