,I_e,I_i,avg_rate
0,-0.35,-0.75,0.0005783440480544297
0,-0.29999999999999993,-0.75,0.0005718665688531078
0,-0.25,-0.75,0.00057200927015861
0,-0.2,-0.75,0.0006007844840108779
0,-0.1499999999999999,-0.75,0.0006023357034744665
0,-0.09999999999999998,-0.75,0.0006033016272678315
0,-0.04999999999999993,-0.75,0.0005518347810688737
0,0.0,-0.75,0.0005659361400136999
0,0.05000000000000005,-0.75,0.0005649508391908072
0,0.10000000000000007,-0.75,0.0005662591926802607
0,0.15000000000000013,-0.75,0.0005962676195177894
0,0.20000000000000015,-0.75,0.0005890575477753153
0,0.25,-0.75,0.0005637298448872137
0,0.30000000000000004,-0.75,0.0005469103382353365
0,0.3500000000000001,-0.75,0.0005101457351605021
0,0.4000000000000001,-0.75,0.0002793167803362852
0,0.4500000000000002,-0.75,0.00026532446059836435
0,0.5,-0.75,0.0004260142790275012
0,0.55,-0.75,0.00024692961189526575
0,0.6000000000000001,-0.75,0.00016308148233820795
0,-0.45,-0.7,0.0028315723284358654
0,-0.3999999999999999,-0.7,0.0008263155199295842
0,-0.35,-0.7,0.0005989725507825931
0,-0.29999999999999993,-0.7,0.0005676249515565013
0,-0.25,-0.7,0.0005741762490512965
0,-0.2,-0.7,0.000599594477744895
0,-0.1499999999999999,-0.7,0.0006041881116639915
0,-0.09999999999999998,-0.7,0.0006039756382716481
0,-0.04999999999999993,-0.7,0.0005787160337827254
0,0.0,-0.7,0.0005680088522094582
0,0.05000000000000005,-0.7,0.0005872273411853787
0,0.10000000000000007,-0.7,0.0005886547065185029
0,0.15000000000000013,-0.7,0.0005931052350495349
0,0.20000000000000015,-0.7,0.000585950221724116
0,0.25,-0.7,0.0005674944079701557
0,0.30000000000000004,-0.7,0.0005547955835098988
0,0.3500000000000001,-0.7,0.00046776826605129755
0,0.4000000000000001,-0.7,0.000356375326368278
0,0.4500000000000002,-0.7,0.000347980522241148
0,0.5,-0.7,0.0004334332498832431
0,0.55,-0.7,0.0003404386584698183
0,0.6000000000000001,-0.7,0.00022390281359267316
0,-0.45,-0.6499999999999999,3.083589882463875e-05
0,-0.3999999999999999,-0.6499999999999999,0.0018201823854058176
0,-0.35,-0.6499999999999999,0.0006623975085355666
0,-0.29999999999999993,-0.6499999999999999,0.000568037894874103
0,-0.25,-0.6499999999999999,0.0005794617977444545
0,-0.2,-0.6499999999999999,0.0005986171700904503
0,-0.1499999999999999,-0.6499999999999999,0.0005991779567532292
0,-0.09999999999999998,-0.6499999999999999,0.0005730938100779045
0,-0.04999999999999993,-0.6499999999999999,0.0005377189655503484
0,0.0,-0.6499999999999999,0.0005329453190032865
0,0.05000000000000005,-0.6499999999999999,0.0005783956719749096
0,0.10000000000000007,-0.6499999999999999,0.000578821962140448
0,0.15000000000000013,-0.6499999999999999,0.0006010042837778587
0,0.20000000000000015,-0.6499999999999999,0.0005950575281074093
0,0.25,-0.6499999999999999,0.0005844003512390328
0,0.30000000000000004,-0.6499999999999999,0.0005594733393509644
0,0.3500000000000001,-0.6499999999999999,0.0005272200783936082
0,0.4000000000000001,-0.6499999999999999,0.0003638187813168703
0,0.4500000000000002,-0.6499999999999999,0.00035188652946963495
0,0.5,-0.6499999999999999,0.00026443834956877874
0,0.55,-0.6499999999999999,0.0004246298234037908
0,0.6000000000000001,-0.6499999999999999,0.0002453681580821864
0,-0.35,-0.6,0.0007361665269960229
0,-0.29999999999999993,-0.6,0.0006232996128045091
0,-0.25,-0.6,0.0005431155095432868
0,-0.2,-0.6,0.0005900910906558264
0,-0.1499999999999999,-0.6,0.0006014826979908406
0,-0.09999999999999998,-0.6,0.0005827733079021303
0,-0.04999999999999993,-0.6,0.0005363993530727545
0,0.0,-0.6,0.0004688677105717491
0,0.05000000000000005,-0.6,0.0005061949464807008
0,0.10000000000000007,-0.6,0.00054445233379512
0,0.15000000000000013,-0.6,0.0006035987122042161
0,0.20000000000000015,-0.6,0.0006065822679075668
0,0.25,-0.6,0.0005899211136818866
0,0.30000000000000004,-0.6,0.0005617427051995197
0,0.3500000000000001,-0.6,0.0005031828695088089
0,0.4000000000000001,-0.6,0.0003707573144365821
0,0.4500000000000002,-0.6,0.000355831328421376
0,0.5,-0.6,0.000277160963331174
0,0.55,-0.6,0.0004306894480280371
0,0.6000000000000001,-0.6,0.00042789431705447545
0,0.6500000000000001,-0.6,0.000158621485917255
0,-0.29999999999999993,-0.55,0.000629111773134787
0,-0.25,-0.55,0.00055957049833195
0,-0.2,-0.55,0.0005693121889567795
0,-0.1499999999999999,-0.55,0.0005895715524834999
0,-0.09999999999999998,-0.55,0.0005937044807468932
0,-0.04999999999999993,-0.55,0.000549098756909907
0,0.0,-0.55,0.0005318284397660506
0,0.05000000000000005,-0.55,0.0005306585292537589
0,0.10000000000000007,-0.55,0.0005442256570424486
0,0.15000000000000013,-0.55,0.000565691788759161
