,I_e,I_i,#timesteps,#nodes
0,-0.6499999999999999,-1.0,1183.0,10
0,-0.6,-1.0,5593.0,51
0,-0.55,-1.0,5491.0,52
0,-0.5,-1.0,5332.0,51
0,-0.45,-1.0,5160.0,51
0,-0.3999999999999999,-1.0,4993.0,51
0,-0.35,-1.0,4853.0,51
0,-0.29999999999999993,-1.0,4737.0,51
0,-0.25,-1.0,4633.0,51
0,-0.2,-1.0,4572.0,51
0,-0.1499999999999999,-1.0,4530.0,51
0,-0.09999999999999998,-1.0,4706.0,42
0,-0.04999999999999993,-1.0,4727.0,42
0,0.0,-1.0,4784.0,42
0,0.05000000000000005,-1.0,4835.0,42
0,0.10000000000000007,-1.0,4879.0,42
0,0.15000000000000013,-1.0,5048.0,51
0,0.20000000000000015,-1.0,5228.0,50
0,0.25,-1.0,5407.0,51
0,0.30000000000000004,-1.0,5605.0,51
0,0.3500000000000001,-1.0,6699.0,64
0,0.4000000000000001,-1.0,11570.0,110
0,-0.6499999999999999,-0.95,1435.0,12
0,-0.6,-0.95,1267.0,2
0,-0.55,-0.95,5550.0,51
0,-0.5,-0.95,5395.0,51
0,-0.45,-0.95,5227.0,50
0,-0.3999999999999999,-0.95,5053.0,51
0,-0.35,-0.95,4914.0,51
0,-0.29999999999999993,-0.95,4777.0,51
0,-0.25,-0.95,4673.0,51
0,-0.2,-0.95,4602.0,51
0,-0.1499999999999999,-0.95,4537.0,51
0,-0.09999999999999998,-0.95,4707.0,42
0,-0.04999999999999993,-0.95,4717.0,42
0,0.0,-0.95,4759.0,42
0,0.05000000000000005,-0.95,4811.0,42
0,0.10000000000000007,-0.95,4865.0,42
0,0.15000000000000013,-0.95,4999.0,51
0,0.20000000000000015,-0.95,5161.0,51
0,0.25,-0.95,5341.0,51
0,0.30000000000000004,-0.95,5529.0,51
0,0.3500000000000001,-0.95,10305.0,114
0,0.4000000000000001,-0.95,6946.0,66
0,0.4500000000000002,-0.95,12117.0,114
0,-0.6,-0.9,1109.0,2
0,-0.55,-0.9,1968.0,4
0,-0.5,-0.9,5461.0,52
0,-0.45,-0.9,5295.0,51
0,-0.3999999999999999,-0.9,5127.0,51
0,-0.35,-0.9,4966.0,51
0,-0.29999999999999993,-0.9,4821.0,51
0,-0.25,-0.9,4713.0,51
0,-0.2,-0.9,4638.0,51
0,-0.1499999999999999,-0.9,4563.0,51
0,-0.09999999999999998,-0.9,4540.0,51
0,-0.04999999999999993,-0.9,4705.0,42
0,0.0,-0.9,4755.0,42
0,0.05000000000000005,-0.9,4778.0,42
0,0.10000000000000007,-0.9,4849.0,42
0,0.15000000000000013,-0.9,4904.0,42
0,0.20000000000000015,-0.9,5099.0,50
0,0.25,-0.9,5279.0,51
