,I_e,I_i,#timesteps,#nodes
0,-0.6499999999999999,-1.0,909.0,17
0,-0.6,-1.0,1395.0,2
0,-0.55,-1.0,3511.0,51
0,-0.5,-1.0,3420.0,51
0,-0.45,-1.0,3314.0,51
0,-0.3999999999999999,-1.0,3208.0,51
0,-0.35,-1.0,3115.0,51
0,-0.29999999999999993,-1.0,3030.0,51
0,-0.25,-1.0,2961.0,51
0,-0.2,-1.0,2912.0,51
0,-0.1499999999999999,-1.0,2884.0,51
0,-0.09999999999999998,-1.0,2875.0,51
0,-0.04999999999999993,-1.0,2887.0,51
0,0.0,-1.0,2928.0,51
0,0.05000000000000005,-1.0,2979.0,51
0,0.10000000000000007,-1.0,3074.0,42
0,0.15000000000000013,-1.0,3116.0,42
0,0.20000000000000015,-1.0,3169.0,42
0,0.25,-1.0,3353.0,51
0,0.30000000000000004,-1.0,3467.0,51
0,0.3500000000000001,-1.0,3589.0,51
0,0.4000000000000001,-1.0,4289.0,62
0,0.4500000000000002,-1.0,10797.0,166
0,-0.6499999999999999,-0.95,1036.0,4
0,-0.6,-0.95,829.0,13
0,-0.55,-0.95,3535.0,51
0,-0.5,-0.95,3459.0,51
0,-0.45,-0.95,3353.0,51
0,-0.3999999999999999,-0.95,3248.0,51
0,-0.35,-0.95,3154.0,51
0,-0.29999999999999993,-0.95,3064.0,51
0,-0.25,-0.95,2982.0,50
0,-0.2,-0.95,2931.0,51
0,-0.1499999999999999,-0.95,2892.0,51
0,-0.09999999999999998,-0.95,2877.0,51
0,-0.04999999999999993,-0.95,2885.0,51
0,0.0,-0.95,2915.0,51
0,0.05000000000000005,-0.95,2961.0,51
0,0.10000000000000007,-0.95,3063.0,42
0,0.15000000000000013,-0.95,3099.0,42
0,0.20000000000000015,-0.95,3210.0,51
0,0.25,-0.95,3317.0,51
0,0.30000000000000004,-0.95,3428.0,50
0,0.3500000000000001,-0.95,3545.0,51
0,0.4000000000000001,-0.95,4215.0,64
0,0.4500000000000002,-0.95,4421.0,64
0,-0.6,-0.9,895.0,2
0,-0.55,-0.9,1390.0,3
0,-0.5,-0.9,3498.0,51
0,-0.45,-0.9,3399.0,51
0,-0.3999999999999999,-0.9,3292.0,51
0,-0.35,-0.9,3190.0,51
0,-0.29999999999999993,-0.9,3094.0,51
0,-0.25,-0.9,3012.0,51
0,-0.2,-0.9,2951.0,51
0,-0.1499999999999999,-0.9,2907.0,51
0,-0.09999999999999998,-0.9,2880.0,51
0,-0.04999999999999993,-0.9,2878.0,51
0,0.0,-0.9,2902.0,51
0,0.05000000000000005,-0.9,2945.0,51
0,0.10000000000000007,-0.9,3041.0,42
0,0.15000000000000013,-0.9,3082.0,51
0,0.20000000000000015,-0.9,3178.0,50
0,0.25,-0.9,3174.0,42
0,0.30000000000000004,-0.9,3387.0,51
0,0.3500000000000001,-0.9,3503.0,51
0,0.4000000000000001,-0.9,9239.0,148
0,0.4500000000000002,-0.9,4354.0,63
0,0.5,-0.9,16646.0,258
0,-0.6,-0.85,1093.0,6
0,-0.55,-0.85,1154.0,8
0,-0.5,-0.85,3159.0,12
0,-0.45,-0.85,3443.0,51
0,-0.3999999999999999,-0.85,3335.0,51
0,-0.35,-0.85,3231.0,51
0,-0.29999999999999993,-0.85,3135.0,51
0,-0.25,-0.85,3049.0,51
0,-0.2,-0.85,2972.0,51
0,-0.1499999999999999,-0.85,2924.0,51
0,-0.09999999999999998,-0.85,2891.0,51
0,-0.04999999999999993,-0.85,2884.0,51
0,0.0,-0.85,2897.0,51
0,0.05000000000000005,-0.85,2931.0,51
0,0.10000000000000007,-0.85,2984.0,51
0,0.15000000000000013,-0.85,3059.0,51
0,0.20000000000000015,-0.85,3146.0,51
0,0.25,-0.85,3163.0,43
0,0.30000000000000004,-0.85,3348.0,51
0,0.3500000000000001,-0.85,3463.0,51
0,0.4000000000000001,-0.85,8786.0,153
0,0.4500000000000002,-0.85,4275.0,65
0,0.5,-0.85,6796.0,99
0,0.55,-0.85,17133.0,80
0,-0.55,-0.8,1167.0,23
0,-0.5,-0.8,1511.0,4
0,-0.45,-0.8,3483.0,51
0,-0.3999999999999999,-0.8,3378.0,51
0,-0.35,-0.8,3277.0,51
0,-0.29999999999999993,-0.8,3174.0,51
0,-0.25,-0.8,3083.0,51
0,-0.2,-0.8,3003.0,50
0,-0.1499999999999999,-0.8,2944.0,51
0,-0.09999999999999998,-0.8,2902.0,51
0,-0.04999999999999993,-0.8,2886.0,51
0,0.0,-0.8,2892.0,51
0,0.05000000000000005,-0.8,2922.0,51
0,0.10000000000000007,-0.8,2967.0,51
0,0.15000000000000013,-0.8,3053.0,42
0,0.20000000000000015,-0.8,3113.0,51
0,0.25,-0.8,3209.0,51
0,0.30000000000000004,-0.8,3315.0,51
0,0.3500000000000001,-0.8,3422.0,51
0,0.4000000000000001,-0.8,13225.0,48
0,0.4500000000000002,-0.8,9427.0,145
0,0.5,-0.8,6581.0,96
0,0.55,-0.8,16781.0,90
0,-0.5,-0.75,1470.0,0
0,-0.45,-0.75,2805.0,10
0,-0.3999999999999999,-0.75,3429.0,50
0,-0.35,-0.75,3323.0,51
0,-0.29999999999999993,-0.75,3218.0,51
0,-0.25,-0.75,3121.0,51
0,-0.2,-0.75,3038.0,51
0,-0.1499999999999999,-0.75,2968.0,51
0,-0.09999999999999998,-0.75,2922.0,51
0,-0.04999999999999993,-0.75,2895.0,51
0,0.0,-0.75,2890.0,51
0,0.05000000000000005,-0.75,2912.0,51
0,0.10000000000000007,-0.75,2954.0,51
0,0.15000000000000013,-0.75,3013.0,51
