,I_e,I_i,avg_rate
0,0.30000000000000004,-0.9,0.00015617483338878515
0,0.3500000000000001,-0.9,0.00014974368677200106
0,0.4000000000000001,-0.9,0.00015094182770462156
0,0.4500000000000002,-0.9,0.0001317443826733379
0,0.5,-0.9,0.0001090006349389634
0,-0.6,-0.85,0.002216290524460612
0,-0.55,-0.85,0.003365504325272131
0,-0.5,-0.85,0.0008648636861155316
0,-0.45,-0.85,0.00016851204449013505
0,-0.3999999999999999,-0.85,0.00015936075714441646
0,-0.35,-0.85,0.0001621164906758422
0,-0.29999999999999993,-0.85,0.00015354710768995187
0,-0.25,-0.85,0.00012417452232165544
0,-0.2,-0.85,0.00012967044031961914
0,-0.1499999999999999,-0.85,0.00011949216095498872
0,-0.09999999999999998,-0.85,0.00012781929221272477
0,-0.04999999999999993,-0.85,0.00012958092823825554
0,0.0,-0.85,0.0001320942488319795
0,0.05000000000000005,-0.85,0.00014496137929569239
0,0.10000000000000007,-0.85,0.0001590390678235473
0,0.15000000000000013,-0.85,0.00015330489379020084
0,0.20000000000000015,-0.85,0.00015418024811440244
0,0.25,-0.85,0.00014878168637160797
0,0.30000000000000004,-0.85,0.00015513733230424566
0,0.3500000000000001,-0.85,0.00015306819164220972
0,0.4000000000000001,-0.85,0.000149610270081991
0,0.4500000000000002,-0.85,0.00014576460396409417
0,0.5,-0.85,0.00010511528855060024
0,0.55,-0.85,0.00012630797957734796
0,-0.55,-0.8,0.002982340603520918
0,-0.5,-0.8,0.0017716914161198406
0,-0.45,-0.8,0.0001812738068224764
0,-0.3999999999999999,-0.8,0.00015975330649366048
0,-0.35,-0.8,0.00016120115944236185
0,-0.29999999999999993,-0.8,0.00015733859618008526
0,-0.25,-0.8,0.00013851682966025482
0,-0.2,-0.8,0.00012848155789089925
0,-0.1499999999999999,-0.8,0.00012285622972370525
0,-0.09999999999999998,-0.8,0.0001333032832289162
0,-0.04999999999999993,-0.8,0.00013279035313838023
0,0.0,-0.8,0.00012207521502605528
0,0.05000000000000005,-0.8,0.00012921743115843582
0,0.10000000000000007,-0.8,0.00014168632925859454
0,0.15000000000000013,-0.8,0.00013324211592711003
0,0.20000000000000015,-0.8,0.00015991397238112633
0,0.25,-0.8,0.00014081859515463013
0,0.30000000000000004,-0.8,0.00015344982899954184
0,0.3500000000000001,-0.8,0.00015078482649796655
0,0.4000000000000001,-0.8,0.0001162368911517226
0,0.4500000000000002,-0.8,0.00015295463963961275
0,0.5,-0.8,0.00013350508442076778
0,0.55,-0.8,0.00010904674307267204
0,-0.5,-0.75,0.002686151733104755
0,-0.45,-0.75,0.0005587424264431919
0,-0.3999999999999999,-0.75,0.00016710246097398183
0,-0.35,-0.75,0.0001619075936035679
0,-0.29999999999999993,-0.75,0.00016331681868401809
0,-0.25,-0.75,0.00015084416569270974
0,-0.2,-0.75,0.00012535208768170891
0,-0.1499999999999999,-0.75,0.00012949208351279028
0,-0.09999999999999998,-0.75,0.0001217497677003222
0,-0.04999999999999993,-0.75,0.00013060416406316001
0,0.0,-0.75,0.00013197445850304993
0,0.05000000000000005,-0.75,0.00012742595646861296
0,0.10000000000000007,-0.75,0.0001481100598645
0,0.15000000000000013,-0.75,0.00015313423077252045
0,0.20000000000000015,-0.75,0.00016498152265945318
0,0.25,-0.75,0.00014400495900484405
0,0.30000000000000004,-0.75,0.00014897402076281474
0,0.3500000000000001,-0.75,0.00015421793961146297
0,0.4000000000000001,-0.75,0.0001253145686794525
0,0.4500000000000002,-0.75,0.00012899094014846933
0,0.5,-0.75,0.00012958356095959733
0,0.55,-0.75,0.000108327684817506
0,0.6000000000000001,-0.75,9.525630522144347e-05
0,-0.45,-0.7,0.001709755837023888
0,-0.3999999999999999,-0.7,0.00018304468337891687
0,-0.35,-0.7,0.00016942666911235664
0,-0.29999999999999993,-0.7,0.0001653733020562032
0,-0.25,-0.7,0.0001343572713689754
0,-0.2,-0.7,0.00013022324907846416
0,-0.1499999999999999,-0.7,0.00012888166556549108
0,-0.09999999999999998,-0.7,0.00012386828153901764
0,-0.04999999999999993,-0.7,0.00012422742488836784
0,0.0,-0.7,0.00012741159572972907
0,0.05000000000000005,-0.7,0.00012797320314387534
0,0.10000000000000007,-0.7,0.00014480056265201937
0,0.15000000000000013,-0.7,0.00015728851958608884
0,0.20000000000000015,-0.7,0.00014640633473748916
0,0.25,-0.7,0.0001447251841235439
0,0.30000000000000004,-0.7,0.00014447880994490386
0,0.3500000000000001,-0.7,0.00015730156614753753
0,0.4000000000000001,-0.7,0.0001605147267405182
0,0.4500000000000002,-0.7,0.0001550036634276948
0,0.5,-0.7,0.00014633659180598204
0,0.55,-0.7,0.00013558970516835695
0,0.6000000000000001,-0.7,0.00011394134949888591
0,-0.3999999999999999,-0.6499999999999999,0.0005936505909449091
0,-0.35,-0.6499999999999999,0.00016407230839542413
0,-0.29999999999999993,-0.6499999999999999,0.0001745070601263068
0,-0.25,-0.6499999999999999,0.00017865623571547792
0,-0.2,-0.6499999999999999,0.00018331858398963732
0,-0.1499999999999999,-0.6499999999999999,0.00017390919691573971
0,-0.09999999999999998,-0.6499999999999999,0.00012258980492388014
0,-0.04999999999999993,-0.6499999999999999,0.0001235817795107441
0,0.0,-0.6499999999999999,0.00012857581970108877
0,0.05000000000000005,-0.6499999999999999,0.00012562883628424937
0,0.10000000000000007,-0.6499999999999999,0.0001412015848137413
0,0.15000000000000013,-0.6499999999999999,0.00015756827566331042
0,0.20000000000000015,-0.6499999999999999,0.0001476213881335924
0,0.25,-0.6499999999999999,0.00015367168050517952
0,0.30000000000000004,-0.6499999999999999,0.00014594304369935104
0,0.3500000000000001,-0.6499999999999999,0.00016213265647783336
0,0.4000000000000001,-0.6499999999999999,0.00015982424732301085
0,0.4500000000000002,-0.6499999999999999,0.00015422898007647266
0,0.5,-0.6499999999999999,0.00013282539841908705
0,0.55,-0.6499999999999999,0.0001312004208522245
0,0.6000000000000001,-0.6499999999999999,0.00011182824904684973
0,-0.35,-0.6,0.00021997059856608255
0,-0.29999999999999993,-0.6,0.00016375015898702715
0,-0.25,-0.6,0.00017333800316184347
0,-0.2,-0.6,0.00017996350671379565
0,-0.1499999999999999,-0.6,0.00016954937993190564
0,-0.09999999999999998,-0.6,0.00015582208766502846
0,-0.04999999999999993,-0.6,0.00012096935091195802
0,0.0,-0.6,0.00015568015701856091
0,0.05000000000000005,-0.6,0.00015038250373960928
0,0.10000000000000007,-0.6,0.0001283537169022208
0,0.15000000000000013,-0.6,0.00015208384874481145
0,0.20000000000000015,-0.6,0.0001391611321626335
0,0.25,-0.6,0.0001493084696070438
0,0.30000000000000004,-0.6,0.00015044631927932915
0,0.3500000000000001,-0.6,0.00015606940472750227
0,0.4000000000000001,-0.6,0.00016220571627401678
0,0.4500000000000002,-0.6,0.0001620753183513065
0,0.5,-0.6,0.00012455818111020489
0,0.55,-0.6,0.00012620306263884303
0,0.6000000000000001,-0.6,0.00013799476269785066
0,0.6500000000000001,-0.6,9.605617167112997e-05
0,-0.29999999999999993,-0.55,0.00019884853549168282
0,-0.25,-0.55,0.00016582314518581132
0,-0.2,-0.55,0.00017244966494722638
0,-0.1499999999999999,-0.55,0.0001751022176157751
0,-0.09999999999999998,-0.55,0.0001623668064498213
0,-0.04999999999999993,-0.55,0.00015218592405625347
0,0.0,-0.55,0.00011411050979643863
0,0.05000000000000005,-0.55,0.00016709005818731933
0,0.10000000000000007,-0.55,0.00011033623810725515
0,0.15000000000000013,-0.55,0.00010880232829571377
0,0.20000000000000015,-0.55,0.00014835673788064985
0,0.25,-0.55,0.00014854471025157583
0,0.30000000000000004,-0.55,0.0001493977347682321
0,0.3500000000000001,-0.55,0.00015431939321929245
0,0.4000000000000001,-0.55,0.00016563220942029293
