,I_e,I_i,avg_rate
0,-0.55,-0.8,8.550530313145032e-05
0,-0.5,-0.8,0.0026178379019081203
0,-0.45,-0.8,0.0032528166210071337
0,-0.4,-0.8,0.0032442002007781728
0,-0.35000000000000003,-0.8,0.002097864870705119
0,-0.30000000000000004,-0.8,0.0007973969495577351
0,-0.25,-0.8,0.0007313164639635612
0,-0.2,-0.8,0.0007153296398680325
0,-0.15000000000000002,-0.8,0.0007320774673861697
0,-0.09999999999999998,-0.8,0.0007509793449889892
0,-0.05000000000000005,-0.8,0.0007681086550494666
0,0.0,-0.8,0.0007515827230728401
0,0.05000000000000005,-0.8,0.000732962630643686
0,0.09999999999999998,-0.8,0.000704074070002204
0,0.15000000000000002,-0.8,0.0006685553893461507
0,0.2,-0.8,0.0006792301985800412
0,0.25,-0.8,0.0006058470012069702
0,0.30000000000000004,-0.8,0.0005790872654846676
0,0.3500000000000001,-0.8,0.0006407823766428155
0,0.4000000000000001,-0.8,0.0007628369957908768
0,0.45,-0.8,0.0007381514476065907
0,0.5,-0.8,0.0007533808353193416
0,0.55,-0.8,0.0007417649217426286
0,0.6000000000000001,-0.8,0.0007310823762324845
0,0.6500000000000001,-0.8,0.0007186604172690314
0,0.7,-0.8,0.000674370522332605
0,0.75,-0.8,0.0006095792851554478
0,0.8,-0.8,0.0005592287245984042
0,0.8500000000000001,-0.8,0.0004490767684290355
0,0.9000000000000001,-0.8,0.0005632658329371007
0,0.95,-0.8,0.0002451456662880841
0,1.0,-0.8,0.00024603222674988404
0,-0.5,-0.75,0.0010575907712871424
0,-0.45,-0.75,0.002741806032330828
0,-0.4,-0.75,0.0030660645690483777
0,-0.35000000000000003,-0.75,0.002763813377671388
0,-0.30000000000000004,-0.75,0.0009240408704056911
0,-0.25,-0.75,0.0007692887021258874
0,-0.2,-0.75,0.0007193391225497399
0,-0.15000000000000002,-0.75,0.0007482764497823962
0,-0.09999999999999998,-0.75,0.0007569413772510414
0,-0.05000000000000005,-0.75,0.0007591895473357132
0,0.0,-0.75,0.0007293612906760707
0,0.05000000000000005,-0.75,0.0007247886265078609
0,0.09999999999999998,-0.75,0.0006548698022265807
0,0.15000000000000002,-0.75,0.0006837639902882492
0,0.2,-0.75,0.0006912237688785056
0,0.25,-0.75,0.0006754101365619628
0,0.30000000000000004,-0.75,0.0005937581085411571
0,0.3500000000000001,-0.75,0.000647639700558622
0,0.4000000000000001,-0.75,0.0007618980396888832
0,0.45,-0.75,0.0007385408958307938
0,0.5,-0.75,0.000755177111783398
0,0.55,-0.75,0.0007446762283895925
0,0.6000000000000001,-0.75,0.0007326117373379665
0,0.6500000000000001,-0.75,0.0006942137638583921
0,0.7,-0.75,0.0007038117204423689
0,0.75,-0.75,0.0006158513165658692
0,0.8,-0.75,0.0005431564197531748
0,0.8500000000000001,-0.75,0.0004414757453254614
0,0.9000000000000001,-0.75,0.0005685975205220821
0,0.95,-0.75,0.0005600924461219827
0,1.0,-0.75,0.00024659789926474967
0,-0.45,-0.7000000000000001,0.0009535424070318706
0,-0.4,-0.7000000000000001,0.002435010766259372
0,-0.35000000000000003,-0.7000000000000001,0.002648731197320373
0,-0.30000000000000004,-0.7000000000000001,0.0017956994897681715
0,-0.25,-0.7000000000000001,0.0007512660704494108
0,-0.2,-0.7000000000000001,0.0007157754606353401
0,-0.15000000000000002,-0.7000000000000001,0.0007375099644643297
0,-0.09999999999999998,-0.7000000000000001,0.000751144932463902
0,-0.05000000000000005,-0.7000000000000001,0.0007531887107523902
0,0.0,-0.7000000000000001,0.00075468030971602
0,0.05000000000000005,-0.7000000000000001,0.0007336342479394276
0,0.09999999999999998,-0.7000000000000001,0.000677180751855588
0,0.15000000000000002,-0.7000000000000001,0.000687039503496844
0,0.2,-0.7000000000000001,0.0006559423712199316
0,0.25,-0.7000000000000001,0.0007723533594166121
0,0.30000000000000004,-0.7000000000000001,0.0006176517175030263
0,0.3500000000000001,-0.7000000000000001,0.0006601197269999026
0,0.4000000000000001,-0.7000000000000001,0.0007649440918488317
0,0.45,-0.7000000000000001,0.000741053077164935
0,0.5,-0.7000000000000001,0.0007536741340856645
0,0.55,-0.7000000000000001,0.0007460547484741838
0,0.6000000000000001,-0.7000000000000001,0.0007379121500243899
0,0.6500000000000001,-0.7000000000000001,0.0006999632564003979
0,0.7,-0.7000000000000001,0.0006982316244450921
0,0.75,-0.7000000000000001,0.0005962484560102807
0,0.8,-0.7000000000000001,0.00054722117468217
0,0.8500000000000001,-0.7000000000000001,0.0004359271882625319
0,0.9000000000000001,-0.7000000000000001,0.0005742574220394825
0,0.95,-0.7000000000000001,0.000555317501004131
0,1.0,-0.7000000000000001,0.0002497083584334064
0,-0.4,-0.65,0.0009162834752078506
0,-0.35000000000000003,-0.65,0.0018828123952654263
0,-0.30000000000000004,-0.65,0.0020634819145562526
0,-0.25,-0.65,0.0012655067129381694
0,-0.2,-0.65,0.0007141754598556417
0,-0.15000000000000002,-0.65,0.0007216016989139967
0,-0.09999999999999998,-0.65,0.0007400517288490965
0,-0.05000000000000005,-0.65,0.0007493383636557832
0,0.0,-0.65,0.0007486124316166319
0,0.05000000000000005,-0.65,0.0007374727254536987
0,0.09999999999999998,-0.65,0.0006853544844729264
0,0.15000000000000002,-0.65,0.0006906630264281625
0,0.2,-0.65,0.0006426753816606033
0,0.25,-0.65,0.0006516443152364132
0,0.30000000000000004,-0.65,0.00065370954691395
0,0.3500000000000001,-0.65,0.0006639222841907614
