,I_e,I_i,avg_rate
0,-0.6499999999999999,-1.0,0.002901846975289414
0,-0.6,-1.0,0.0014774838534387068
0,-0.55,-1.0,0.0003372355222801143
0,-0.5,-1.0,0.0003254907817803559
0,-0.45,-1.0,0.0003333307050532768
0,-0.3999999999999999,-1.0,0.00033882131148840815
0,-0.35,-1.0,0.0003306750040861879
0,-0.29999999999999993,-1.0,0.0003343600478584838
0,-0.25,-1.0,0.0002962306193988721
0,-0.2,-1.0,0.0003188191136822844
0,-0.1499999999999999,-1.0,0.00031225833308452875
0,-0.09999999999999998,-1.0,0.0003184026823261269
0,-0.04999999999999993,-1.0,0.00032433143858273184
0,0.0,-1.0,0.0003028605520110656
0,0.05000000000000005,-1.0,0.00031854798768978084
0,0.10000000000000007,-1.0,0.00032368219729060534
0,0.15000000000000013,-1.0,0.00033202851286741835
0,0.20000000000000015,-1.0,0.0003232235539622026
0,0.25,-1.0,0.000307747958232021
0,0.30000000000000004,-1.0,0.0002829382015570593
0,0.3500000000000001,-1.0,0.0002642458607113982
0,0.4000000000000001,-1.0,0.00021404812422283682
0,-0.6499999999999999,-0.95,0.0019251535774061565
0,-0.6,-0.95,0.0039411308765561655
0,-0.55,-0.95,0.0007495269719361829
0,-0.5,-0.95,0.00033793560069827545
0,-0.45,-0.95,0.00034120344717599295
0,-0.3999999999999999,-0.95,0.0003392441884487765
0,-0.35,-0.95,0.00033106643750443815
0,-0.29999999999999993,-0.95,0.0003310406307415545
0,-0.25,-0.95,0.000337753740978376
0,-0.2,-0.95,0.000323492907285518
0,-0.1499999999999999,-0.95,0.00030799471252767127
0,-0.09999999999999998,-0.95,0.0003228922278757676
0,-0.04999999999999993,-0.95,0.0003215268774871173
0,0.0,-0.95,0.0002989992055395811
0,0.05000000000000005,-0.95,0.0003181312630639086
0,0.10000000000000007,-0.95,0.0003266791324889327
0,0.15000000000000013,-0.95,0.0003290794868690698
0,0.20000000000000015,-0.95,0.00032984076573819846
0,0.25,-0.95,0.000313187428118822
0,0.30000000000000004,-0.95,0.0002961311920237989
0,0.3500000000000001,-0.95,0.0002620499062919773
0,0.4000000000000001,-0.95,0.0001628281488031801
0,0.4500000000000002,-0.95,0.00017140055541492439
0,-0.6,-0.9,0.003237871060517348
0,-0.55,-0.9,0.0023112298402183365
0,-0.5,-0.9,0.0003517418715939325
0,-0.45,-0.9,0.00032964947625824774
0,-0.3999999999999999,-0.9,0.00033666248360428704
0,-0.35,-0.9,0.0003352832647820447
0,-0.29999999999999993,-0.9,0.0003267587501264756
0,-0.25,-0.9,0.0003376844650166092
0,-0.2,-0.9,0.00028913750415152697
0,-0.1499999999999999,-0.9,0.00030500279027098945
0,-0.09999999999999998,-0.9,0.0003218688649762075
0,-0.04999999999999993,-0.9,0.0003126974504002071
0,0.0,-0.9,0.0003230143721897428
0,0.05000000000000005,-0.9,0.00031822250010001766
0,0.10000000000000007,-0.9,0.0003185995829713804
0,0.15000000000000013,-0.9,0.0003274720680863238
0,0.20000000000000015,-0.9,0.0003300008740056876
0,0.25,-0.9,0.00031728411662110517
0,0.30000000000000004,-0.9,0.00029531630434001375
0,0.3500000000000001,-0.9,0.00018834873449418086
0,0.4000000000000001,-0.9,0.0002620656295413817
0,0.4500000000000002,-0.9,0.00015745347948600645
0,0.5,-0.9,0.0001615075261549645
0,-0.6,-0.85,0.0021870381502343134
0,-0.55,-0.85,0.0035772904765227283
0,-0.5,-0.85,0.0011916758106473636
0,-0.45,-0.85,0.00035476181922543184
0,-0.3999999999999999,-0.85,0.0003393372774659518
0,-0.35,-0.85,0.0003382417669913033
0,-0.29999999999999993,-0.85,0.000330114398934974
0,-0.25,-0.85,0.00033816469989451936
0,-0.2,-0.85,0.000300492393463362
0,-0.1499999999999999,-0.85,0.0003017747158350632
0,-0.09999999999999998,-0.85,0.000319616518366703
0,-0.04999999999999993,-0.85,0.00032496389134282924
0,0.0,-0.85,0.00032845028595450073
0,0.05000000000000005,-0.85,0.00032024493109456665
0,0.10000000000000007,-0.85,0.0003186473665393682
0,0.15000000000000013,-0.85,0.0003272547793411599
0,0.20000000000000015,-0.85,0.00032471048609284585
0,0.25,-0.85,0.000322308064441749
0,0.30000000000000004,-0.85,0.00029508574565261566
0,0.3500000000000001,-0.85,0.00019753155686699954
0,0.4000000000000001,-0.85,0.0002657782508399331
0,0.4500000000000002,-0.85,0.0001568547121512091
0,0.5,-0.85,0.00016655567222172323
0,-0.55,-0.8,0.0030011973730915326
0,-0.5,-0.8,0.0026753917604964168
0,-0.45,-0.8,0.0004310042383583666
0,-0.3999999999999999,-0.8,0.00032571142646613987
0,-0.35,-0.8,0.00033841507584095624
0,-0.29999999999999993,-0.8,0.00033579320606384294
0,-0.25,-0.8,0.0003275866104558878
0,-0.2,-0.8,0.00030508011759569284
0,-0.1499999999999999,-0.8,0.0003213505912401951
0,-0.09999999999999998,-0.8,0.00030691667970435873
0,-0.04999999999999993,-0.8,0.0003025747223773975
0,0.0,-0.8,0.0003345732010246871
0,0.05000000000000005,-0.8,0.0003101690590018026
0,0.10000000000000007,-0.8,0.000322417438338194
0,0.15000000000000013,-0.8,0.0003324416680265827
0,0.20000000000000015,-0.8,0.0003305272238882157
0,0.25,-0.8,0.0003218631837776761
0,0.30000000000000004,-0.8,0.00029336936887994723
0,0.3500000000000001,-0.8,0.0002503274580303367
0,0.4000000000000001,-0.8,0.0001944196935045384
0,0.4500000000000002,-0.8,0.000262320844225535
0,0.5,-0.8,0.00016077066853710276
0,-0.5,-0.75,0.0030964122542267145
0,-0.45,-0.75,0.0008370264363792793
0,-0.3999999999999999,-0.75,0.0003889599284524494
0,-0.35,-0.75,0.00034165023755674693
0,-0.29999999999999993,-0.75,0.0003389719429704133
