,b,dom_frequ,down_duration,up_duration
0,0.0,0.05,20.0,0.0
1,0.025,70.10000000000001,0.011092368045649073,0.0031729671897289583
2,0.05,76.5,0.009822679738562093,0.00324921568627451
3,0.07500000000000001,81.55000000000001,0.008941017780502759,0.003321397915389332
4,0.1,85.75,0.008269037900874637,0.003392769679300292
5,0.125,89.30000000000001,0.00773454647256439,0.0034636618141097426
6,0.15000000000000002,92.4,0.007289935064935065,0.0035325757575757582
7,0.17500000000000002,95.15,0.006909248554913295,0.0036004729374671572
8,0.2,97.60000000000001,0.006577407786885245,0.0036684938524590162
9,0.225,99.85000000000001,0.006278918377566349,0.003736104156234351
10,0.25,101.9,0.006010942100098136,0.0038026005888125614
11,0.275,103.85000000000001,0.005760471834376505,0.003868801155512759
12,0.30000000000000004,105.75,0.00552581560283688,0.003930449172576832
13,0.325,2.8000000000000003,0.17376607142857142,0.1833767857142857
14,0.35000000000000003,2.8000000000000003,0.16876071428571426,0.18838214285714286
15,0.375,3.0,0.15899666666666668,0.17433666666666667
16,0.4,3.0,0.15487166666666669,0.17846166666666669
17,0.42500000000000004,3.1500000000000004,0.1468222222222222,0.17063809523809526
18,0.45,3.1500000000000004,0.14337301587301587,0.17408730158730157
19,0.47500000000000003,3.25,0.13712615384615387,0.17056615384615384
20,0.5,3.3000000000000003,0.13469545454545456,0.1683348484848485
