,tau_a,dom_frequ,down_duration,up_duration
0,10.0,103.75,0.005914650602409639,0.0037239036144578316
1,300.0,101.95,0.006008876900441393,0.0037998528690534584
2,600.0,101.9,0.006010942100098136,0.0038026005888125614
3,900.0,101.9,0.006010647693817468,0.003802894995093229
4,1200.0,101.9,0.006010451422963691,0.003803091265947007
5,1500.0,101.9,0.006010304219823357,0.003803238469087341
6,1800.0,101.9,0.006010549558390579,0.0038029931305201183
7,2100.0,101.9,0.006010353287536802,0.0038031894013738966
8,2400.0,101.9,0.0060099607458292455,0.003803581943081453
9,2700.0,101.9,0.006010107948969578,0.0038034347399411193
10,3000.0,101.9,0.006010500490677135,0.0038030421982335628
11,3300.0,101.9,0.006012119725220806,0.0038014229636898923
12,3600.0,101.9,0.006009470068694799,0.003804072620215898
13,3900.0,101.9,0.006009813542688911,0.003803729146221786
14,4200.0,101.9,0.006010794896957802,0.003802747791952895
15,4500.0,101.9,0.006010696761530912,0.0038028459273797845
16,4800.0,101.9,0.006010107948969578,0.0038034347399411193
17,5100.0,101.9,0.0060099116781158,0.003803631010794897
18,5400.0,101.9,0.006010794896957802,0.003802747791952895
19,5700.0,101.9,0.006010647693817468,0.003802894995093229
20,6000.0,101.9,0.0060097154072620215,0.003803827281648676
