,tau_a,dom_frequ,down_duration,up_duration
0,10.0,0.0,0.0,0.0
1,300.0,3.25,0.15309384615384616,0.15459846153846155
2,600.0,2.3000000000000003,0.2164543478260869,0.21832826086956522
3,900.0,1.9000000000000001,0.2635552631578948,0.2627605263157895
4,1200.0,1.6500000000000001,0.30125151515151516,0.3048090909090909
5,1500.0,1.4500000000000002,0.34139310344827584,0.34826206896551726
6,1800.0,1.35,0.37099259259259265,0.36974814814814816
7,2100.0,1.25,0.39795200000000003,0.402048
8,2400.0,1.1500000000000001,0.43580434782608696,0.4337608695652173
9,2700.0,1.1,0.45734090909090913,0.45175
10,3000.0,1.05,0.4685714285714286,0.48380952380952386
11,3300.0,1.0,0.49141000000000007,0.50859
12,3600.0,0.9500000000000001,0.48483157894736845,0.5678000000000001
13,3900.0,0.9500000000000001,0.49533157894736846,0.5573000000000001
14,4200.0,0.9,0.5229222222222223,0.5881888888888889
15,4500.0,0.8500000000000001,0.5901000000000001,0.5863705882352941
16,4800.0,0.8500000000000001,0.5401705882352942,0.6363000000000001
17,5100.0,0.8,0.59409375,0.65590625
18,5400.0,0.8,0.5897000000000001,0.6603000000000001
19,5700.0,0.75,0.6099266666666666,0.7234066666666668
20,6000.0,0.75,0.6259600000000001,0.7073733333333334
