,tau_a,dom_frequ,down_duration,up_duration
0,10.0,13.100000000000001,0.036448091603053435,0.039887786259541994
1,300.0,3.35,0.14467014925373137,0.15383731343283583
2,600.0,2.35,0.19845957446808513,0.22707234042553193
3,900.0,1.9000000000000001,0.24481315789473684,0.2815026315789474
4,1200.0,1.6500000000000001,0.28261515151515154,0.3234454545454546
5,1500.0,1.5,0.30579333333333336,0.3608733333333333
6,1800.0,1.35,0.34564814814814815,0.3950925925925926
7,2100.0,1.25,0.373192,0.426808
8,2400.0,1.1500000000000001,0.4093391304347826,0.46022608695652173
9,2700.0,1.1,0.42309090909090913,0.486
10,3000.0,1.05,0.4424285714285715,0.5099523809523809
11,3300.0,1.0,0.4651800000000001,0.5348200000000001
12,3600.0,0.9500000000000001,0.49409473684210525,0.5585368421052632
13,3900.0,0.9500000000000001,0.4760315789473684,0.5766
14,4200.0,0.9,0.5238444444444444,0.5872666666666668
15,4500.0,0.8500000000000001,0.5196764705882354,0.6567941176470589
16,4800.0,0.8500000000000001,0.5477529411764707,0.6287176470588236
17,5100.0,0.8,0.5853312500000001,0.66466875
18,5400.0,0.8,0.5660875,0.6839125
19,5700.0,0.75,0.6209200000000001,0.7124133333333335
20,6000.0,0.75,0.6124733333333334,0.7208600000000002
