,b,dom_frequ,down_duration,up_duration
0,0.0,0.05,20.0,0.0
1,0.025,0.7000000000000001,0.7596142857142857,0.6689571428571428
2,0.05,1.0,0.512315,0.4876850000000001
3,0.07500000000000001,1.25,0.407904,0.392096
4,0.1,1.4500000000000002,0.34651379310344826,0.34314137931034483
5,0.125,1.6500000000000001,0.3045333333333334,0.30152727272727275
6,0.15000000000000002,1.8,0.2735055555555556,0.28205
7,0.17500000000000002,1.9500000000000002,0.24943333333333337,0.2633871794871795
8,0.2,2.1,0.22622857142857145,0.24996190476190477
9,0.225,2.2,0.21570000000000003,0.23884545454545458
10,0.25,2.35,0.19754042553191492,0.22799148936170216
11,0.275,2.45,0.1873918367346939,0.22077142857142862
12,0.30000000000000004,2.6,0.17962307692307697,0.20499230769230772
13,0.325,2.7,0.1700111111111111,0.20035925925925926
14,0.35000000000000003,2.75,0.16096727272727276,0.20266909090909094
15,0.375,2.9000000000000004,0.15432413793103447,0.19050344827586208
16,0.4,2.95,0.14588305084745762,0.19310000000000002
17,0.42500000000000004,3.1,0.1408951612903226,0.18168548387096775
18,0.45,3.1,0.13625161290322582,0.18632903225806452
19,0.47500000000000003,3.2,0.12981718750000001,0.1826828125
20,0.5,3.25,0.1268876923076923,0.1808046153846154
