,tau_a,dom_frequ,down_duration,up_duration
0,10.0,0.0,0.0,0.0
1,300.0,3.25,0.1657446153846154,0.14194769230769233
2,600.0,2.3000000000000003,0.23461086956521737,0.20017173913043476
3,900.0,1.9000000000000001,0.30351578947368424,0.22280000000000003
4,1200.0,1.6500000000000001,0.3241666666666667,0.2818939393939394
5,1500.0,1.4500000000000002,0.37189310344827586,0.31776206896551723
6,1800.0,1.35,0.39998518518518517,0.3407555555555556
7,2100.0,1.25,0.43263599999999997,0.367364
8,2400.0,1.1500000000000001,0.4624391304347826,0.4071260869565217
9,2700.0,1.1,0.49041818181818186,0.41867272727272736
10,3000.0,1.05,0.5168285714285715,0.4355523809523809
11,3300.0,1.0,0.53298,0.46702
12,3600.0,0.9500000000000001,0.5648157894736843,0.4878157894736843
13,3900.0,0.9,0.5892166666666667,0.5218944444444445
14,4200.0,0.9,0.5943333333333334,0.5167777777777778
15,4500.0,0.8500000000000001,0.6329117647058824,0.5435588235294119
16,4800.0,0.8,0.65718125,0.5928187500000001
17,5100.0,0.8,0.62493125,0.6250687500000001
18,5400.0,0.75,0.7338866666666668,0.5994466666666666
19,5700.0,0.75,0.7122800000000001,0.6210533333333335
20,6000.0,0.75,0.7043933333333334,0.62894
