,b,tau_a,dom_frequ,down_duration,up_duration
0,0.0,1.0,61.3,0.006189777052746059,0.02643665035345296
0,0.025,1.0,72.53333333333333,0.006221507352941177,0.021352022058823535
0,0.05,1.0,81.1,0.006254993834771887,0.018405918618988902
0,0.07500000000000001,1.0,88.3,0.006282672706681767,0.016367383918459797
0,0.1,1.0,94.56666666666666,0.006311350017624251,0.014837751145576315
0,0.125,1.0,100.23333333333333,0.0063376454938476896,0.01361579647489192
0,0.15000000000000002,1.0,105.46666666666667,0.006361915297092288,0.012601422250316055
0,0.17500000000000002,1.0,110.36666666666666,0.006384627000906072,0.01173678646934461
0,0.2,1.0,114.96666666666667,0.0064086981733835905,0.010987648593795305
0,0.225,1.0,119.39999999999999,0.006428950307091012,0.010321468453378004
0,0.25,1.0,123.63333333333333,0.006449231598813697,0.009727635481261796
0,0.275,1.0,127.7,0.006468885408509528,0.009192821717567214
0,0.30000000000000004,1.0,131.66666666666666,0.0064861772151898756,0.008703696202531648
0,0.325,1.0,135.5,0.00650270602706027,0.008257441574415745
0,0.35000000000000003,1.0,139.2,0.006518797892720307,0.007849018199233717
0,0.375,1.0,142.8,0.006534547152194212,0.007471055088702148
0,0.4,1.0,146.3,0.006548462064251538,0.007122077922077923
0,0.42500000000000004,1.0,149.7,0.006560966377198843,0.006799087063014919
0,0.45,1.0,153.0,0.006573420479302833,0.006498474945533769
0,0.47500000000000003,1.0,156.16666666666666,0.0065851227321238005,0.0062217075773746
0,0.5,1.0,159.23333333333332,0.006596357546577351,0.005963826669457819
0,0.0,300.0,61.3,0.006189831430125068,0.026436595976073958
0,0.025,300.0,70.1,0.006346172135045174,0.022184498335710894
0,0.05,300.0,76.5,0.006497298474945535,0.01964649237472767
0,0.07500000000000001,300.0,81.56666666666666,0.006642582754393136,0.017877237433592152
0,0.1,300.0,85.76666666666667,0.006784492809949476,0.016534589972794403
0,0.125,300.0,89.33333333333333,0.006926082089552239,0.015461977611940299
0,0.15000000000000002,300.0,92.4,0.007066089466089466,0.014578932178932177
0,0.17500000000000002,300.0,95.13333333333333,0.007203784162578838,0.013819341275402942
0,0.2,300.0,97.6,0.007338661202185794,0.013153142076502733
0,0.225,300.0,99.83333333333333,0.007472520868113524,0.012560868113522538
0,0.25,300.0,101.93333333333334,0.007603041203400917,0.012017625899280576
0,0.275,300.0,103.89999999999999,0.007731312159127367,0.011517965992941933
0,0.30000000000000004,300.0,105.76666666666667,0.007858241411913018,0.011051307910494801
0,0.325,300.0,3.8,0.27370438596491226,0.252611403508772
0,0.35000000000000003,300.0,3.933333333333333,0.2672940677966102,0.24118050847457628
0,0.375,300.0,4.066666666666666,0.2610065573770492,0.2307967213114754
0,0.4,300.0,4.2,0.2555984126984127,0.2205920634920635
