,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.5333333333333333,-1.0,2.44140625,2.40381952,0.8729804800000001
0,-0.4666666666666667,-1.0,107.421875,0.053906152727272734,0.020566574545454547
0,-0.4,-1.0,113.525390625,0.0466926382795699,0.023776178924731186
0,-0.4666666666666667,-0.9333333333333332,2.44140625,2.35741184,0.9193881600000001
0,-0.4,-0.9333333333333332,114.74609375,0.047946730212765964,0.02177241872340426
0,-0.33333333333333337,-0.9333333333333332,118.408203125,0.042365308041237115,0.025197578556701034
0,-0.4666666666666667,-0.8666666666666667,2.44140625,2.5063424,0.7704576000000001
0,-0.4,-0.8666666666666667,2.44140625,2.20786688,1.06893312
0,-0.33333333333333337,-0.8666666666666667,2.44140625,2.1141913600000004,1.1626086400000002
0,-0.2666666666666667,-0.8666666666666667,120.849609375,0.039268641616161615,0.026929338181818186
0,-0.4,-0.8,2.44140625,2.3463116800000003,0.93048832
0,-0.33333333333333337,-0.8,2.44140625,2.2258483200000003,1.0509516799999998
0,-0.2666666666666667,-0.8,2.44140625,2.0592230400000004,1.2175769600000002
0,-0.2,-0.8,122.0703125,0.036723916800000006,0.028812083200000005
0,-0.33333333333333337,-0.7333333333333334,2.44140625,2.25103872,1.0257612800000002
0,-0.2666666666666667,-0.7333333333333334,2.44140625,2.10604032,1.17075968
0,-0.2,-0.7333333333333334,2.44140625,1.95035136,1.3264486400000002
0,-0.1333333333333333,-0.7333333333333334,120.849609375,0.034954188282828286,0.031243791515151515
0,-0.2666666666666667,-0.6666666666666667,2.44140625,2.1735833600000003,1.10321664
0,-0.2,-0.6666666666666667,2.44140625,2.0570112000000003,1.2197888000000001
0,-0.1333333333333333,-0.6666666666666667,2.44140625,1.9324518400000001,1.34434816
0,-0.06666666666666665,-0.6666666666666667,118.408203125,0.03348670020618557,0.034076186391752576
0,-0.2,-0.6,2.44140625,2.10018304,1.17661696
0,-0.1333333333333333,-0.6,2.44140625,1.97971968,1.29708032
0,-0.06666666666666665,-0.6,2.44140625,1.8487705600000002,1.4280294400000002
0,0.0,-0.6,2.44140625,1.6509747200000002,1.6258252800000002
0,0.06666666666666665,-0.6,106.201171875,0.030220947126436783,0.045107788505747134
0,-0.2,-0.5333333333333333,2.44140625,2.1746483199999997,1.10215168
0,-0.1333333333333333,-0.5333333333333333,2.44140625,2.0494336,1.2273664000000002
0,-0.06666666666666665,-0.5333333333333333,2.44140625,1.9011993600000003,1.37560064
0,0.0,-0.5333333333333333,2.44140625,1.8325504000000001,1.4442496
0,0.06666666666666665,-0.5333333333333333,2.44140625,1.69385984,1.5829401600000002
0,0.1333333333333333,-0.5333333333333333,97.65625,0.029686784000000004,0.052233216000000006
0,-0.1333333333333333,-0.4666666666666667,2.44140625,2.1268889599999996,1.1499110399999999
0,-0.06666666666666665,-0.4666666666666667,2.44140625,2.0017152,1.2750848000000001
0,0.0,-0.4666666666666667,2.44140625,1.8829312000000002,1.3938688000000001
0,0.06666666666666665,-0.4666666666666667,2.44140625,1.79142656,1.48537344
0,0.1333333333333333,-0.4666666666666667,2.44140625,1.53673728,1.7400627199999998
0,0.2,-0.4666666666666667,85.44921875,0.029719405714285718,0.06390345142857143
0,-0.06666666666666665,-0.4,2.44140625,2.0847001599999997,1.19209984
0,0.0,-0.4,2.44140625,1.9547340800000002,1.32206592
0,0.06666666666666665,-0.4,2.44140625,1.82079488,1.4560051200000002
0,0.1333333333333333,-0.4,2.44140625,1.6419635200000002,1.63483648
0,0.2,-0.4,2.44140625,1.4364672,1.8403328
0,0.2666666666666666,-0.4,69.580078125,0.029864870175438596,0.08511056842105263
0,0.06666666666666665,-0.33333333333333337,2.44140625,1.8787123200000004,1.3980876800000002
0,0.1333333333333333,-0.33333333333333337,2.44140625,1.8098176000000001,1.4669824
0,0.2,-0.33333333333333337,2.44140625,1.50212608,1.7746739200000001
0,0.2666666666666666,-0.33333333333333337,2.44140625,1.4606336000000002,1.8161664000000002
0,0.3333333333333333,-0.33333333333333337,43.9453125,0.030556160000000002,0.15148828444444445
0,0.1333333333333333,-0.2666666666666667,2.44140625,1.87994112,1.3968588800000001
0,0.2,-0.2666666666666667,2.44140625,1.7633689600000002,1.5134310400000002
0,0.2666666666666666,-0.2666666666666667,2.44140625,1.5962112,1.6805888
0,0.3333333333333333,-0.2666666666666667,2.44140625,1.3850624,1.8917376000000001
0,0.2666666666666666,-0.2,2.44140625,1.72068864,1.55611136
0,0.3333333333333333,-0.2,2.44140625,1.54468352,1.73211648
0,0.3333333333333333,-0.1333333333333333,2.44140625,1.61624064,1.6605593600000002
0,0.3999999999999999,-0.1333333333333333,2.44140625,1.49962752,1.7771724800000002
0,0.4666666666666666,-0.06666666666666665,2.44140625,1.36454144,1.91225856
0,0.5333333333333332,0.0,2.44140625,1.45666048,1.82013952
0,0.6000000000000001,0.0,2.44140625,1.36392704,1.91287296
0,0.6666666666666667,0.06666666666666665,2.44140625,1.3370163200000003,1.9397836800000003
0,0.7333333333333334,0.1333333333333333,2.44140625,1.2476416,2.0291584
0,0.8666666666666667,0.2,1.220703125,0.0,6.5536
