,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,-1.0,-1.0,1,0,0,0,1,1
0,-0.98,-1.0,1,0,0,0,1,1
0,-0.96,-1.0,1,0,0,0,1,1
0,-0.94,-1.0,1,0,0,0,1,1
0,-0.92,-1.0,1,0,0,0,1,1
0,-0.9,-1.0,1,0,0,0,1,1
0,-0.88,-1.0,1,0,0,0,1,1
0,-0.86,-1.0,1,0,0,0,1,1
0,-0.84,-1.0,1,0,0,0,1,1
0,-0.8200000000000001,-1.0,1,0,0,0,1,1
0,-0.8,-1.0,1,0,0,0,1,1
0,-0.78,-1.0,1,0,0,0,1,1
0,-0.76,-1.0,1,0,0,0,1,1
0,-0.74,-1.0,1,0,0,0,1,1
0,-0.72,-1.0,1,0,0,0,1,1
0,-0.7,-1.0,1,0,0,0,1,1
0,-0.6799999999999999,-1.0,1,0,0,0,1,1
0,-0.6599999999999999,-1.0,0,0,0,0,4,4
0,-0.64,-1.0,0,0,0,0,4,4
0,-0.62,-1.0,0,0,0,0,4,4
0,-0.6,-1.0,0,0,0,0,4,4
0,-0.5800000000000001,-1.0,0,0,0,0,4,4
0,-0.56,-1.0,0,0,0,0,4,4
0,-0.54,-1.0,0,0,0,0,4,4
0,-0.52,-1.0,0,0,0,0,4,4
0,-0.5,-1.0,0,0,0,0,4,4
0,-0.48,-1.0,0,0,0,0,2,4
0,-0.45999999999999996,-1.0,0,0,0,0,2,2
0,-0.43999999999999995,-1.0,0,0,0,0,2,2
0,-0.42000000000000004,-1.0,0,0,0,0,2,2
0,-0.4,-1.0,0,0,0,0,2,2
0,-0.38,-1.0,0,0,0,0,2,2
0,-0.36,-1.0,0,0,0,0,2,2
0,-0.33999999999999997,-1.0,0,0,0,0,2,2
0,-0.31999999999999995,-1.0,0,0,0,0,2,2
0,-0.29999999999999993,-1.0,0,0,0,0,2,2
0,-0.28,-1.0,0,0,0,0,2,2
0,-0.26,-1.0,0,0,0,0,2,2
0,-0.24,-1.0,0,0,0,0,2,2
0,-0.21999999999999997,-1.0,0,0,0,0,2,2
0,-0.19999999999999996,-1.0,0,0,0,0,2,2
0,-0.17999999999999994,-1.0,0,0,0,0,2,2
0,-0.16000000000000003,-1.0,0,0,0,0,2,2
0,-0.14,-1.0,0,0,0,0,2,2
0,-0.12,-1.0,0,0,0,0,2,2
0,-0.09999999999999998,-1.0,0,0,0,0,2,2
0,-0.07999999999999996,-1.0,0,0,0,0,2,2
0,-0.05999999999999994,-1.0,0,0,0,0,2,2
0,-0.040000000000000036,-1.0,0,0,0,0,2,2
0,-0.020000000000000018,-1.0,0,0,0,0,2,2
0,0.0,-1.0,0,0,0,0,2,2
0,0.020000000000000018,-1.0,0,0,0,0,2,2
0,0.040000000000000036,-1.0,0,0,0,0,2,2
0,0.06000000000000005,-1.0,0,0,0,0,2,2
0,0.08000000000000007,-1.0,0,0,0,0,2,2
0,0.10000000000000009,-1.0,0,0,0,0,2,2
0,0.1200000000000001,-1.0,0,0,0,0,2,2
0,0.14000000000000012,-1.0,0,0,0,0,2,2
0,0.15999999999999992,-1.0,0,0,0,0,2,2
0,0.17999999999999994,-1.0,0,0,0,0,2,2
