,b,tau_a,dom_frequ,down_duration,up_duration
0,0.0,1.0,0.008333333333333333,120.0,0.0
0,0.024,1.0,0.0,0.0,0.0
0,0.048,1.0,0.008333333333333333,120.0,0.0
0,0.07200000000000001,1.0,0.0,0.0,0.0
0,0.096,1.0,0.0,0.0,0.0
0,0.12,1.0,0.0,0.0,0.0
0,0.14400000000000002,1.0,0.35833333333333334,2.790697674418605,0.0
0,0.168,1.0,0.0,0.0,0.0
0,0.192,1.0,0.0,0.0,0.0
0,0.216,1.0,1.55,0.6451612903225807,0.0
0,0.24,1.0,0.0,0.0,0.0
0,0.264,1.0,0.0,0.0,0.0
0,0.28800000000000003,1.0,0.0,0.0,0.0
0,0.312,1.0,0.0,0.0,0.0
0,0.336,1.0,0.0,0.0,0.0
0,0.36,1.0,0.0,0.0,0.0
0,0.384,1.0,0.0,0.0,0.0
0,0.40800000000000003,1.0,0.0,0.0,0.0
0,0.432,1.0,0.0,0.0,0.0
0,0.456,1.0,0.0,0.0,0.0
0,0.48,1.0,0.0,0.0,0.0
0,0.504,1.0,0.0,0.0,0.0
0,0.528,1.0,0.0,0.0,0.0
0,0.552,1.0,0.0,0.0,0.0
0,0.5760000000000001,1.0,0.0,0.0,0.0
0,0.6,1.0,0.0,0.0,0.0
0,0.0,100.0,0.008333333333333333,0.0,120.0
0,0.024,100.0,0.9083333333333333,0.3323752293577982,0.7685422018348624
0,0.048,100.0,1.2083333333333333,0.17604137931034483,0.6515448275862069
0,0.07200000000000001,100.0,1.25,0.08772533333333334,0.7122746666666667
0,0.096,100.0,1.5583333333333333,0.07253208556149734,0.5691791443850268
0,0.12,100.0,2.3916666666666666,0.09746794425087109,0.3206505226480837
0,0.14400000000000002,100.0,2.0833333333333335,0.08679759999999999,0.39320239999999995
0,0.168,100.0,3.1416666666666666,0.0396893899204244,0.2786129973474801
0,0.192,100.0,4.341666666666667,0.08257543186180423,0.14775086372360846
0,0.216,100.0,5.041666666666667,0.08104297520661158,0.11730413223140498
0,0.24,100.0,3.85,0.06912164502164503,0.19061861471861472
0,0.264,100.0,4.775,0.06922094240837695,0.14020314136125658
0,0.28800000000000003,100.0,4.808333333333334,0.03020901213171577,0.1777632582322357
0,0.312,100.0,2.575,0.05810809061488674,0.3302414239482201
0,0.336,100.0,5.583333333333333,0.06301029850746269,0.11609417910447764
0,0.36,100.0,5.15,0.06875258899676376,0.12542216828478966
0,0.384,100.0,3.1333333333333333,0.3191489361702128,0.0
0,0.40800000000000003,100.0,8.816666666666666,0.11342155009451797,0.0
0,0.432,100.0,0.8333333333333334,1.2,0.0
