,b,tau_a,dom_frequ,down_duration,up_duration
0,0.0,10,0.008333333333333333,0.0,120.0
0,0.049999999999999996,10,0.008333333333333333,0.0,120.0
0,0.09999999999999999,10,0.0,0.0,0.0
0,0.15,10,0.0,0.0,0.0
0,0.19999999999999998,10,2.841666666666667,0.3519061583577713,0.0
0,0.24999999999999997,10,1.0083333333333333,0.9917355371900828,0.0
0,0.3,10,0.0,0.0,0.0
0,0.35,10,0.0,0.0,0.0
0,0.39999999999999997,10,0.0,0.0,0.0
0,0.44999999999999996,10,13.375,0.07476635514018692,0.0
0,0.49999999999999994,10,0.0,0.0,0.0
0,0.5499999999999999,10,0.0,0.0,0.0
0,0.6,10,0.0,0.0,0.0
0,0.0,150,0.008333333333333333,0.0,120.0
0,0.049999999999999996,150,1.375,0.19319030303030307,0.5340824242424242
0,0.09999999999999999,150,0.9249999999999999,0.12367387387387391,0.9574072072072073
0,0.15,150,1.825,0.10020228310502284,0.44774292237442925
0,0.19999999999999998,150,4.0,0.10117208333333333,0.14882791666666667
0,0.24999999999999997,150,4.516666666666667,0.09257749077490775,0.12882472324723246
0,0.3,150,2.091666666666667,0.07112071713147411,0.40696693227091635
0,0.35,150,4.725,0.0754599647266314,0.13618024691358024
0,0.39999999999999997,150,2.4833333333333334,0.4026845637583893,0.0
0,0.44999999999999996,150,0.0,0.0,0.0
0,0.49999999999999994,150,0.0,0.0,0.0
0,0.5499999999999999,150,0.0,0.0,0.0
0,0.6,150,0.0,0.0,0.0
0,0.0,300,0.008333333333333333,0.0,120.0
0,0.049999999999999996,300,1.2083333333333333,0.25887862068965517,0.5687075862068967
0,0.09999999999999999,300,0.7083333333333334,0.16438,1.247384705882353
0,0.15,300,0.9249999999999999,0.13443063063063065,0.9466504504504507
0,0.19999999999999998,300,1.125,0.11751851851851854,0.7713703703703705
0,0.24999999999999997,300,3.225,0.12970051679586564,0.18037700258397935
0,0.3,300,3.558333333333333,0.12136580796252927,0.15966463700234193
0,0.35,300,2.425,0.09597353951890034,0.3163975945017182
0,0.39999999999999997,300,3.275,0.09633587786259543,0.2090076335877863
0,0.44999999999999996,300,0.008333333333333333,120.0,0.0
0,0.49999999999999994,300,1.4583333333333333,0.6857142857142858,0.0
0,0.5499999999999999,300,0.8916666666666666,1.1214953271028039,0.0
0,0.6,300,0.0,0.0,0.0
0,0.0,600,0.008333333333333333,0.0,120.0
0,0.049999999999999996,600,0.8833333333333333,0.35709433962264153,0.7749811320754717
0,0.09999999999999999,600,0.9666666666666667,0.23888448275862073,0.795598275862069
0,0.15,600,1.2333333333333334,0.19825270270270273,0.6125581081081081
0,0.19999999999999998,600,1.1666666666666667,0.16888214285714287,0.6882607142857143
0,0.24999999999999997,600,1.6916666666666667,0.16056945812807885,0.43056354679802955
0,0.3,600,1.5416666666666667,0.14344054054054056,0.5052081081081081
0,0.35,600,2.5833333333333335,0.15647419354838712,0.2306225806451613
0,0.39999999999999997,600,2.6,0.14288173076923075,0.24173365384615386
0,0.44999999999999996,600,0.008333333333333333,120.0,0.0
0,0.49999999999999994,600,0.0,0.0,0.0
0,0.5499999999999999,600,0.0,0.0,0.0
0,0.6,600,0.0,0.0,0.0
0,0.0,900,0.008333333333333333,0.0,120.0
0,0.049999999999999996,900,0.7333333333333333,0.4288931818181818,0.9347431818181818
