,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.55,-1.0,106.201171875,0.055392044137931036,0.019936691494252874
0,-0.54,-1.0,107.421875,0.05378420363636364,0.02068852363636364
0,-0.53,-1.0,108.642578125,0.052234585168539335,0.021401369887640454
0,-0.52,-1.0,109.86328125,0.05078311822222222,0.022034659555555558
0,-0.51,-1.0,111.083984375,0.04936805274725275,0.022649529670329672
0,-0.5,-1.0,112.3046875,0.04802470956521739,0.02321007304347826
0,-0.49,-1.0,113.525390625,0.046731396129032265,0.02373742107526882
0,-0.48,-1.0,113.525390625,0.04598883096774194,0.024479986236559143
0,-0.47,-1.0,114.74609375,0.04477799489361703,0.024941154042553194
0,-0.46,-1.0,115.966796875,0.04360817178947369,0.02537709136842105
0,-0.45,-1.0,115.966796875,0.042909696000000004,0.02607556715789474
0,-0.44,-1.0,117.1875,0.04179797333333334,0.026468693333333335
0,-0.43,-1.0,117.1875,0.04114773333333334,0.02711893333333333
0,-0.42,-1.0,118.408203125,0.040090127835051545,0.0274727587628866
0,-0.41,-1.0,118.408203125,0.03945757030927835,0.028105316288659792
0,-0.4,-1.0,118.408203125,0.03884443711340207,0.02871844948453608
0,-0.39,-1.0,119.62890625,0.03784536816326531,0.0290281012244898
0,-0.38,-1.0,119.62890625,0.03725353795918367,0.029619931428571434
0,-0.37,-1.0,119.62890625,0.036657528163265306,0.030215941224489798
0,-0.36,-1.0,119.62890625,0.036083252244897966,0.030790217142857144
0,-0.35,-1.0,119.62890625,0.03550897632653061,0.03136449306122449
0,-0.34,-1.0,120.849609375,0.034577687272727274,0.03162029252525252
0,-0.33,-1.0,120.849609375,0.03402658909090909,0.03217139070707071
0,-0.31999999999999995,-1.0,120.849609375,0.03348293818181818,0.032715041616161615
0,-0.30999999999999994,-1.0,120.849609375,0.0329351498989899,0.0332628298989899
0,-0.29999999999999993,-1.0,120.849609375,0.03236667474747475,0.03383130505050505
0,-0.29000000000000004,-1.0,120.849609375,0.03181723151515151,0.034380748282828284
0,-0.28,-1.0,119.62890625,0.03161610448979592,0.035257364897959186
0,-0.27,-1.0,119.62890625,0.03106105469387755,0.03581241469387755
0,-0.26,-1.0,119.62890625,0.030504333061224492,0.03636913632653062
0,-0.25,-1.0,119.62890625,0.02996182204081633,0.03691164734693878
0,-0.24,-1.0,119.62890625,0.029428506122448985,0.03744496326530612
0,-0.23,-1.0,118.408203125,0.029193923298969072,0.03836896329896907
0,-0.22,-1.0,118.408203125,0.028648352989690724,0.038914533608247426
0,-0.21,-1.0,118.408203125,0.0281019381443299,0.039460948453608244
0,-0.2,-1.0,117.1875,0.02784341333333333,0.04042325333333333
0,-0.18999999999999995,-1.0,117.1875,0.027289600000000004,0.04097706666666667
0,-0.17999999999999994,-1.0,115.966796875,0.02706378105263158,0.04192148210526316
0,-0.16999999999999993,-1.0,115.966796875,0.02648689178947369,0.04249837136842106
0,-0.16000000000000006,-1.0,114.74609375,0.026223114893617023,0.04349603404255319
0,-0.15000000000000002,-1.0,114.74609375,0.025663618723404256,0.04405553021276596
0,-0.14,-1.0,113.525390625,0.025356442150537634,0.04511237505376344
