,Unnamed: 0.1,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,0.0,0.05,20.0,1.0,0.0,0.0
1,1,1,0.025,0.65,0.8976846153846154,0.583495,0.6407769230769231,0.416505
2,2,2,0.05,1.05,0.5377000000000001,0.564585,0.4146809523809524,0.4354149999999999
3,3,3,0.075,1.25,0.4634960000000001,0.57937,0.336504,0.42063
4,4,4,0.1,1.4500000000000002,0.4022758620689655,0.5833000000000002,0.2873793103448275,0.4166999999999999
5,5,5,0.125,1.6,0.3576875,0.5723,0.2673125,0.4277
6,6,6,0.15,1.7000000000000002,0.3561264705882354,0.6054150000000001,0.2321088235294117,0.3945849999999998
7,7,7,0.175,1.9,0.3153105263157895,0.59909,0.2110052631578947,0.4009099999999999
8,8,8,0.2,2.0500000000000003,0.2671560975609756,0.5476700000000001,0.2206487804878048,0.4523299999999999
9,9,9,0.225,2.15,0.2682581395348837,0.576755,0.1968581395348837,0.423245
10,10,10,0.25,2.3000000000000003,0.232795652173913,0.53543,0.2019869565217391,0.46457
11,11,11,0.275,2.45,0.2170285714285714,0.53172,0.191134693877551,0.46828
12,12,12,0.3,2.5500000000000003,0.2056450980392156,0.5243950000000001,0.1865117647058823,0.475605
13,13,13,0.325,2.6500000000000004,0.2073320754716981,0.54943,0.1700264150943396,0.4505699999999999
14,14,14,0.35,2.75,0.1963654545454545,0.5400049999999998,0.1672709090909091,0.459995
15,15,15,0.375,2.9000000000000004,0.1979068965517241,0.5739299999999999,0.1469206896551724,0.42607
16,16,16,0.4,2.95,0.1702457627118644,0.502225,0.1687372881355932,0.4977749999999999
17,17,17,0.425,3.1,0.1665774193548387,0.51639,0.1560032258064516,0.48361
18,18,18,0.45,3.1500000000000004,0.1617904761904761,0.5096399999999999,0.1556698412698412,0.49036
19,19,19,0.475,3.2,0.1512078125,0.483865,0.1612921875,0.516135
20,20,20,0.5,3.35,0.1490149253731343,0.4992,0.1494925373134328,0.5008
