,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.475,-1.0,106.201171875,0.05515475862068966,0.020173977011494256
0,-0.45,-1.0,108.642578125,0.05210388134831462,0.02153207370786517
0,-0.4249999999999999,-1.0,111.083984375,0.04931403956043957,0.02270354285714286
0,-0.3999999999999999,-1.0,113.525390625,0.046689995698924736,0.023778821505376347
0,-0.375,-1.0,114.74609375,0.044727448510638305,0.024991700425531917
0,-0.35,-1.0,115.966796875,0.04285537010526316,0.026129893052631584
0,-0.325,-1.0,117.1875,0.04109397333333334,0.02717269333333333
0,-0.29999999999999993,-1.0,118.408203125,0.03937142762886598,0.028191458969072165
0,-0.2749999999999999,-1.0,119.62890625,0.03772750367346939,0.02914596571428572
0,-0.25,-1.0,119.62890625,0.03653297632653061,0.030340493061224494
0,-0.225,-1.0,119.62890625,0.03532507428571429,0.03154839510204081
0,-0.2,-1.0,120.849609375,0.03380565333333333,0.032392326464646466
0,-0.17499999999999993,-1.0,120.849609375,0.03268111515151515,0.033516864646464646
0,-0.1499999999999999,-1.0,120.849609375,0.0315292703030303,0.0346687094949495
0,-0.125,-1.0,119.62890625,0.030721671836734694,0.036151797551020416
0,-0.09999999999999998,-1.0,119.62890625,0.029578135510204086,0.037295333877551025
0,-0.07499999999999996,-1.0,118.408203125,0.028747163711340208,0.03881572288659794
0,-0.04999999999999993,-1.0,117.1875,0.027912533333333336,0.04035413333333334
0,-0.024999999999999908,-1.0,115.966796875,0.027061194105263163,0.04192406905263158
0,0.0,-1.0,114.74609375,0.02616995404255319,0.04354919489361703
0,0.02500000000000013,-1.0,113.525390625,0.0252657135483871,0.045203103655913984
0,0.05000000000000005,-1.0,111.083984375,0.02459130373626374,0.047426278681318684
0,0.07499999999999996,-1.0,109.86328125,0.023628458666666668,0.04918931911111111
0,0.10000000000000007,-1.0,107.421875,0.022878021818181823,0.051594705454545454
0,0.125,-1.0,103.759765625,0.02233813835294118,0.05476303811764706
0,0.15000000000000013,-1.0,101.318359375,0.02146797493975904,0.05749106120481928
0,0.17500000000000004,-1.0,97.65625,0.020767744,0.061152256
0,0.20000000000000015,-1.0,92.7734375,0.020235317894736846,0.06599626105263158
0,0.2250000000000001,-1.0,87.890625,0.01956977777777778,0.07145244444444446
0,0.25,-1.0,83.0078125,0.018741609411764705,0.0776348611764706
0,0.2750000000000001,-1.0,75.68359375,0.018240412903225808,0.08746281290322581
0,0.30000000000000004,-1.0,68.359375,0.01732608,0.09970249142857143
0,0.3250000000000002,-1.0,57.373046875,0.016758740425531916,0.12267955744680852
0,0.3500000000000001,-1.0,41.50390625,0.016290032941176473,0.17646290823529412
0,-0.45,-0.975,109.86328125,0.05232230400000001,0.02049547377777778
0,-0.4249999999999999,-0.975,112.3046875,0.04942358260869566,0.0218112
0,-0.3999999999999999,-0.975,113.525390625,0.04727664860215054,0.023192168602150537
0,-0.375,-0.975,114.74609375,0.04525731404255319,0.024461834893617022
0,-0.35,-0.975,115.966796875,0.043347752421052634,0.025637510736842103
0,-0.325,-0.975,117.1875,0.04151381333333333,0.026752853333333333
0,-0.29999999999999993,-0.975,118.408203125,0.03977258226804124,0.02779030432989691
0,-0.2749999999999999,-0.975,119.62890625,0.038096979591836735,0.028776489795918365
0,-0.25,-0.975,119.62890625,0.03685229714285715,0.03002117224489796
0,-0.225,-0.975,120.849609375,0.0352876606060606,0.030910319191919198
0,-0.2,-0.975,120.849609375,0.034107681616161616,0.03209029818181818
0,-0.17499999999999993,-0.975,120.849609375,0.032964111515151516,0.03323386828282829
0,-0.1499999999999999,-0.975,119.62890625,0.032135209795918364,0.03473825959183674
0,-0.125,-0.975,119.62890625,0.030998360816326537,0.03587510857142857
0,-0.09999999999999998,-0.975,119.62890625,0.029850644897959185,0.03702282448979592
0,-0.07499999999999996,-0.975,118.408203125,0.02902332701030928,0.03853955958762887
0,-0.04999999999999993,-0.975,117.1875,0.02817450666666667,0.04009216000000001
0,-0.024999999999999908,-0.975,115.966796875,0.02732075115789474,0.041664512
0,0.0,-0.975,114.74609375,0.02642181446808511,0.04329733446808511
0,0.02500000000000013,-0.975,113.525390625,0.02551499698924731,0.044953820215053765
0,0.05000000000000005,-0.975,111.083984375,0.02486587076923077,0.04715171164835165
0,0.07499999999999996,-0.975,108.642578125,0.024155354606741574,0.04948060044943821
0,0.10000000000000007,-0.975,106.201171875,0.023420645517241382,0.051908090114942525
0,0.125,-0.975,103.759765625,0.022602209882352942,0.0544989665882353
0,0.15000000000000013,-0.975,100.09765625,0.02201250341463415,0.057909447804878056
0,0.17500000000000004,-0.975,97.65625,0.021041152,0.060878848000000006
0,0.20000000000000015,-0.975,92.7734375,0.020542517894736843,0.06568906105263157
0,0.2250000000000001,-0.975,87.890625,0.019878115555555558,0.07114410666666668
0,0.25,-0.975,83.0078125,0.019063265882352944,0.07731320470588236
0,0.2750000000000001,-0.975,75.68359375,0.018564129032258066,0.08713909677419354
0,0.30000000000000004,-0.975,68.359375,0.01770496,0.09932361142857145
0,0.3250000000000002,-0.975,57.373046875,0.017196228085106385,0.12224206978723406
0,0.3500000000000001,-0.975,41.50390625,0.016805647058823533,0.17594729411764706
0,-0.3999999999999999,-0.95,114.74609375,0.04743865191489362,0.0222804970212766
0,-0.375,-0.95,115.966796875,0.045355223578947376,0.02363003957894737
0,-0.35,-0.95,117.1875,0.04339797333333334,0.024868693333333337
0,-0.325,-0.95,118.408203125,0.04154019628865979,0.026022690309278354
0,-0.29999999999999993,-0.95,118.408203125,0.040186404948453616,0.02737648164948454
0,-0.2749999999999999,-0.95,119.62890625,0.03848317387755103,0.028390295510204083
0,-0.25,-0.95,119.62890625,0.03723765551020409,0.029635813877551022
0,-0.225,-0.95,120.849609375,0.035632717575757575,0.030565262222222226
0,-0.2,-0.95,120.849609375,0.03444032646464647,0.03175765333333334
0,-0.17499999999999993,-0.95,120.849609375,0.033270277171717176,0.03292770262626262
0,-0.1499999999999999,-0.95,119.62890625,0.032432796734693875,0.03444067265306122
0,-0.125,-0.95,119.62890625,0.03127003428571429,0.03560343510204082
0,-0.09999999999999998,-0.95,119.62890625,0.030113123265306123,0.03676034612244899
0,-0.07499999999999996,-0.95,118.408203125,0.02928682226804124,0.03827606432989691
0,-0.04999999999999993,-0.95,117.1875,0.028426240000000005,0.03984042666666667
0,-0.024999999999999908,-0.95,115.966796875,0.02756909810526316,0.041416165052631584
0,0.0,-0.95,114.74609375,0.0266640885106383,0.04305506042553192
0,0.02500000000000013,-0.95,113.525390625,0.02577132731182796,0.04469748989247312
0,0.05000000000000005,-0.95,111.083984375,0.025101728351648357,0.04691585406593407
0,0.07499999999999996,-0.95,108.642578125,0.02440203505617978,0.04923392000000001
0,0.10000000000000007,-0.95,106.201171875,0.023676763218390805,0.0516519724137931
0,0.125,-0.95,103.759765625,0.022868208941176475,0.05423296752941177
0,0.15000000000000013,-0.95,100.09765625,0.022285237073170733,0.05763671414634147
0,0.17500000000000004,-0.95,96.435546875,0.021573994936708862,0.061382967088607604
0,0.20000000000000015,-0.95,92.7734375,0.020826004210526317,0.06540557473684211
0,0.2250000000000001,-0.95,87.890625,0.020195555555555557,0.07082666666666666
0,0.25,-0.95,81.787109375,0.019658354626865673,0.07815657074626865
0,0.2750000000000001,-0.95,75.68359375,0.018885202580645164,0.08681802322580646
0,0.30000000000000004,-0.95,67.138671875,0.018381358545454547,0.10077500509090909
0,0.3250000000000002,-0.95,57.373046875,0.01753088,0.12190741787234044
0,0.3500000000000001,-0.95,41.50390625,0.017297167058823528,0.1754557741176471
0,-0.375,-0.925,117.1875,0.04556202666666667,0.02270464
0,-0.35,-0.925,117.1875,0.04399274666666667,0.024273920000000004
0,-0.325,-0.925,118.408203125,0.04206803134020619,0.02549485525773196
0,-0.29999999999999993,-0.925,119.62890625,0.0402511412244898,0.026622328163265308
0,-0.2749999999999999,-0.925,119.62890625,0.03891701551020409,0.02795645387755102
0,-0.25,-0.925,120.849609375,0.03723801858585858,0.028959961212121216
0,-0.225,-0.925,120.849609375,0.036001771313131314,0.030196208484848483
0,-0.2,-0.925,120.849609375,0.03479117575757576,0.03140680404040404
0,-0.17499999999999993,-0.925,120.849609375,0.03359547474747475,0.032602505050505055
0,-0.1499999999999999,-0.925,119.62890625,0.032762148571428576,0.034111320816326535
0,-0.125,-0.925,119.62890625,0.0315659493877551,0.03530752
0,-0.09999999999999998,-0.925,119.62890625,0.030424920816326532,0.03644854857142857
0,-0.07499999999999996,-0.925,118.408203125,0.029568052783505154,0.03799483381443299
0,-0.04999999999999993,-0.925,117.1875,0.028711253333333332,0.03955541333333334
0,-0.024999999999999908,-0.925,115.966796875,0.027844176842105266,0.04114108631578947
0,0.0,-0.925,114.74609375,0.026946451063829792,0.042772697872340434
0,0.02500000000000013,-0.925,112.3046875,0.026300772173913047,0.04493401043478261
