,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,0.0,0.0,,0.0,
1,1,300.0,2.25,0.2492044444444444,0.5607099999999999,0.19524,0.43929
2,2,600.0,1.6,0.35009375,0.5601499999999999,0.27490625,0.43985
3,3,900.0,1.3,0.4283807692307693,0.556895,0.34085,0.44310499999999997
4,4,1200.0,1.15,0.4936999999999999,0.567755,0.3758652173913043,0.432245
5,5,1500.0,1.0,0.55198,0.55198,0.44802,0.44802
6,6,1800.0,0.95,0.6135842105263158,0.582905,0.4390473684210527,0.417095
7,7,2100.0,0.8500000000000001,0.6602882352941177,0.561245,0.5161823529411765,0.43875499999999995
8,8,2400.0,0.8,0.69635,0.55708,0.55365,0.44292
9,9,2700.0,0.75,0.7383666666666668,0.553775,0.5949666666666668,0.44622500000000004
10,10,3000.0,0.7000000000000001,0.7997428571428572,0.55982,0.6288285714285714,0.44017999999999996
11,11,3300.0,0.7000000000000001,0.7950714285714284,0.55655,0.6335000000000001,0.4434500000000001
12,12,3600.0,0.65,0.8681846153846154,0.56432,0.6702769230769231,0.43568
13,13,3900.0,0.65,0.8497769230769232,0.5523549999999999,0.6886846153846155,0.44764499999999996
14,14,4200.0,0.6000000000000001,0.9201999999999998,0.5521199999999999,0.7464666666666666,0.44788
15,15,4500.0,0.6000000000000001,0.9176416666666668,0.5505850000000001,0.7490249999999999,0.44941499999999995
16,16,4800.0,0.6000000000000001,0.9300416666666668,0.558025,0.736625,0.44197499999999995
17,17,5100.0,0.55,1.0139545454545456,0.557675,0.8042272727272728,0.44232499999999997
18,18,5400.0,0.55,1.0035272727272728,0.55194,0.8146545454545455,0.44806
19,19,5700.0,0.5,1.11169,0.555845,0.88831,0.444155
20,20,6000.0,0.5,1.13295,0.566475,0.8670500000000001,0.43352500000000005
