,I_e,I_i,#timesteps,#nodes
0,-0.2,-0.78,4240.0,51
0,-0.17999999999999994,-0.78,4206.0,51
0,-0.16000000000000006,-0.78,4178.0,51
0,-0.14,-0.78,4146.0,51
0,-0.4,-0.76,4807.0,51
0,-0.38,-0.76,4753.0,51
0,-0.36,-0.76,4701.0,51
0,-0.34,-0.76,4639.0,51
0,-0.31999999999999995,-0.76,4574.0,50
0,-0.29999999999999993,-0.76,4512.0,51
0,-0.28,-0.76,4460.0,51
0,-0.26,-0.76,4408.0,51
0,-0.24,-0.76,4356.0,51
0,-0.22,-0.76,4308.0,51
0,-0.2,-0.76,4262.0,51
0,-0.17999999999999994,-0.76,4221.0,51
0,-0.16000000000000006,-0.76,4192.0,51
0,-0.14,-0.76,4160.0,51
0,-0.12,-0.76,4133.0,51
0,-0.38,-0.74,4777.0,51
0,-0.36,-0.74,4721.0,51
0,-0.34,-0.74,4671.0,51
0,-0.31999999999999995,-0.74,4601.0,51
0,-0.29999999999999993,-0.74,4537.0,51
0,-0.28,-0.74,4479.0,51
0,-0.26,-0.74,4427.0,51
0,-0.24,-0.74,4378.0,51
0,-0.22,-0.74,4324.0,51
0,-0.2,-0.74,4282.0,51
0,-0.17999999999999994,-0.74,4238.0,51
0,-0.16000000000000006,-0.74,4205.0,51
0,-0.14,-0.74,4179.0,51
0,-0.12,-0.74,4147.0,51
0,-0.09999999999999998,-0.74,4118.0,51
0,-0.36,-0.72,4752.0,51
0,-0.34,-0.72,4692.0,51
0,-0.31999999999999995,-0.72,4634.0,52
0,-0.29999999999999993,-0.72,4564.0,51
0,-0.28,-0.72,4509.0,51
0,-0.26,-0.72,4452.0,51
0,-0.24,-0.72,4398.0,51
0,-0.22,-0.72,4350.0,51
0,-0.2,-0.72,4295.0,51
0,-0.17999999999999994,-0.72,4251.0,51
0,-0.16000000000000006,-0.72,4216.0,51
0,-0.14,-0.72,4192.0,51
0,-0.12,-0.72,4157.0,51
0,-0.09999999999999998,-0.72,4147.0,51
0,-0.07999999999999996,-0.72,4113.0,51
0,-0.34,-0.7,4722.0,51
0,-0.31999999999999995,-0.7,4662.0,51
0,-0.29999999999999993,-0.7,4601.0,51
0,-0.28,-0.7,4533.0,51
0,-0.26,-0.7,4471.0,51
0,-0.24,-0.7,4425.0,51
0,-0.22,-0.7,4374.0,51
0,-0.2,-0.7,4325.0,51
0,-0.17999999999999994,-0.7,4272.0,51
0,-0.16000000000000006,-0.7,4233.0,51
0,-0.14,-0.7,4195.0,51
0,-0.12,-0.7,4164.0,51
0,-0.09999999999999998,-0.7,4138.0,51
0,-0.07999999999999996,-0.7,4117.0,51
0,-0.059999999999999935,-0.7,4097.0,51
0,-0.34,-0.6799999999999999,4742.0,51
0,-0.31999999999999995,-0.6799999999999999,4693.0,51
0,-0.29999999999999993,-0.6799999999999999,4638.0,52
0,-0.28,-0.6799999999999999,4560.0,51
0,-0.26,-0.6799999999999999,4500.0,51
0,-0.24,-0.6799999999999999,4445.0,51
0,-0.22,-0.6799999999999999,4399.0,51
0,-0.2,-0.6799999999999999,4344.0,51
0,-0.17999999999999994,-0.6799999999999999,4293.0,50
0,-0.16000000000000006,-0.6799999999999999,4252.0,51
0,-0.14,-0.6799999999999999,4215.0,51
0,-0.12,-0.6799999999999999,4186.0,51
0,-0.09999999999999998,-0.6799999999999999,4154.0,51
0,-0.07999999999999996,-0.6799999999999999,4127.0,51
0,-0.059999999999999935,-0.6799999999999999,4110.0,51
0,-0.040000000000000036,-0.6799999999999999,4093.0,51
0,-0.020000000000000014,-0.6799999999999999,4088.0,51
0,-0.31999999999999995,-0.6599999999999999,4712.0,51
0,-0.29999999999999993,-0.6599999999999999,4659.0,51
0,-0.28,-0.6599999999999999,4602.0,51
0,-0.26,-0.6599999999999999,4531.0,51
0,-0.24,-0.6599999999999999,4472.0,51
0,-0.22,-0.6599999999999999,4420.0,51
0,-0.2,-0.6599999999999999,4377.0,51
0,-0.17999999999999994,-0.6599999999999999,4321.0,51
0,-0.16000000000000006,-0.6599999999999999,4269.0,51
0,-0.14,-0.6599999999999999,4231.0,51
0,-0.12,-0.6599999999999999,4201.0,51
0,-0.09999999999999998,-0.6599999999999999,4169.0,51
0,-0.07999999999999996,-0.6599999999999999,4143.0,51
0,-0.059999999999999935,-0.6599999999999999,4117.0,51
0,-0.040000000000000036,-0.6599999999999999,4100.0,51
0,-0.020000000000000014,-0.6599999999999999,4096.0,51
0,0.0,-0.6599999999999999,4089.0,51
0,-0.29999999999999993,-0.64,4688.0,51
0,-0.28,-0.64,4632.0,52
0,-0.26,-0.64,4559.0,51
0,-0.24,-0.64,4500.0,51
0,-0.22,-0.64,4445.0,51
0,-0.2,-0.64,4399.0,51
0,-0.17999999999999994,-0.64,4350.0,51
0,-0.16000000000000006,-0.64,4292.0,50
0,-0.14,-0.64,4253.0,51
0,-0.12,-0.64,4215.0,51
0,-0.09999999999999998,-0.64,4184.0,51
0,-0.07999999999999996,-0.64,4154.0,51
0,-0.059999999999999935,-0.64,4132.0,51
0,-0.040000000000000036,-0.64,4110.0,51
0,-0.020000000000000014,-0.64,4100.0,51
0,0.0,-0.64,4099.0,51
0,0.020000000000000014,-0.64,4225.0,42
0,-0.28,-0.62,4660.0,51
0,-0.26,-0.62,4602.0,52
0,-0.24,-0.62,4527.0,51
0,-0.22,-0.62,4468.0,51
0,-0.2,-0.62,4417.0,51
0,-0.17999999999999994,-0.62,4368.0,51
0,-0.16000000000000006,-0.62,4320.0,51
0,-0.14,-0.62,4269.0,51
0,-0.12,-0.62,4230.0,51
0,-0.09999999999999998,-0.62,4199.0,51
0,-0.07999999999999996,-0.62,4166.0,51
0,-0.059999999999999935,-0.62,4142.0,51
0,-0.040000000000000036,-0.62,4117.0,51
0,-0.020000000000000014,-0.62,4108.0,51
0,0.0,-0.62,4106.0,51
0,0.020000000000000014,-0.62,4093.0,51
0,0.040000000000000036,-0.62,4217.0,42
0,-0.26,-0.6,4629.0,52
0,-0.24,-0.6,4561.0,51
0,-0.22,-0.6,4494.0,51
0,-0.2,-0.6,4444.0,51
0,-0.17999999999999994,-0.6,4395.0,51
0,-0.16000000000000006,-0.6,4342.0,51
0,-0.14,-0.6,4296.0,51
0,-0.12,-0.6,4250.0,51
0,-0.09999999999999998,-0.6,4211.0,51
0,-0.07999999999999996,-0.6,4182.0,51
0,-0.059999999999999935,-0.6,4158.0,51
0,-0.040000000000000036,-0.6,4135.0,51
0,-0.020000000000000014,-0.6,4117.0,51
0,0.0,-0.6,4109.0,51
0,0.020000000000000014,-0.6,4102.0,51
0,0.040000000000000036,-0.6,4227.0,42
0,0.06000000000000005,-0.6,4225.0,42
0,-0.24,-0.5800000000000001,4601.0,51
0,-0.22,-0.5800000000000001,4527.0,51
0,-0.2,-0.5800000000000001,4470.0,51
0,-0.17999999999999994,-0.5800000000000001,4418.0,51
0,-0.16000000000000006,-0.5800000000000001,4369.0,51
0,-0.14,-0.5800000000000001,4320.0,50
0,-0.12,-0.5800000000000001,4270.0,51
0,-0.09999999999999998,-0.5800000000000001,4233.0,51
0,-0.07999999999999996,-0.5800000000000001,4203.0,51
0,-0.059999999999999935,-0.5800000000000001,4176.0,51
0,-0.040000000000000036,-0.5800000000000001,4150.0,51
0,-0.020000000000000014,-0.5800000000000001,4133.0,51
0,0.0,-0.5800000000000001,4124.0,51
0,0.020000000000000014,-0.5800000000000001,4109.0,51
0,0.040000000000000036,-0.5800000000000001,4095.0,51
0,0.06000000000000005,-0.5800000000000001,4224.0,42
0,0.08000000000000007,-0.5800000000000001,4217.0,42
0,-0.22,-0.56,4562.0,51
0,-0.2,-0.56,4498.0,51
0,-0.17999999999999994,-0.56,4445.0,51
0,-0.16000000000000006,-0.56,4399.0,51
0,-0.14,-0.56,4346.0,51
0,-0.12,-0.56,4300.0,51
0,-0.09999999999999998,-0.56,4251.0,51
0,-0.07999999999999996,-0.56,4221.0,51
0,-0.059999999999999935,-0.56,4190.0,51
0,-0.040000000000000036,-0.56,4163.0,51
0,-0.020000000000000014,-0.56,4146.0,51
0,0.0,-0.56,4130.0,51
0,0.020000000000000014,-0.56,4116.0,51
0,0.040000000000000036,-0.56,4110.0,51
0,0.06000000000000005,-0.56,4235.0,42
0,0.08000000000000007,-0.56,4229.0,42
0,0.10000000000000007,-0.56,4224.0,42
0,-0.22,-0.54,4601.0,51
0,-0.2,-0.54,4531.0,51
0,-0.17999999999999994,-0.54,4476.0,51
0,-0.16000000000000006,-0.54,4421.0,51
0,-0.14,-0.54,4372.0,51
0,-0.12,-0.54,4322.0,50
0,-0.09999999999999998,-0.54,4277.0,51
0,-0.07999999999999996,-0.54,4236.0,51
0,-0.059999999999999935,-0.54,4206.0,51
0,-0.040000000000000036,-0.54,4175.0,51
0,-0.020000000000000014,-0.54,4158.0,51
0,0.0,-0.54,4140.0,51
0,0.020000000000000014,-0.54,4130.0,51
0,0.040000000000000036,-0.54,4117.0,51
0,0.06000000000000005,-0.54,4102.0,51
0,0.08000000000000007,-0.54,4222.0,42
0,0.10000000000000007,-0.54,4234.0,42
0,0.1200000000000001,-0.54,4218.0,42
0,-0.2,-0.52,4569.0,51
0,-0.17999999999999994,-0.52,4506.0,51
0,-0.16000000000000006,-0.52,4450.0,51
0,-0.14,-0.52,4399.0,51
0,-0.12,-0.52,4353.0,51
0,-0.09999999999999998,-0.52,4303.0,51
0,-0.07999999999999996,-0.52,4260.0,51
0,-0.059999999999999935,-0.52,4220.0,50
0,-0.040000000000000036,-0.52,4200.0,51
0,-0.020000000000000014,-0.52,4165.0,51
0,0.0,-0.52,4152.0,51
0,0.020000000000000014,-0.52,4139.0,51
0,0.040000000000000036,-0.52,4128.0,51
0,0.06000000000000005,-0.52,4117.0,51
0,0.08000000000000007,-0.52,4224.0,42
0,0.10000000000000007,-0.52,4229.0,42
0,0.1200000000000001,-0.52,4226.0,42
0,0.14000000000000012,-0.52,4239.0,42
0,-0.17999999999999994,-0.5,4536.0,51
0,-0.16000000000000006,-0.5,4476.0,51
0,-0.14,-0.5,4425.0,51
0,-0.12,-0.5,4382.0,51
0,-0.09999999999999998,-0.5,4324.0,51
0,-0.07999999999999996,-0.5,4281.0,50
0,-0.059999999999999935,-0.5,4246.0,50
0,-0.040000000000000036,-0.5,4213.0,51
0,-0.020000000000000014,-0.5,4182.0,51
0,0.0,-0.5,4155.0,51
0,0.020000000000000014,-0.5,4148.0,51
0,0.040000000000000036,-0.5,4140.0,51
0,0.06000000000000005,-0.5,4124.0,51
0,0.08000000000000007,-0.5,4106.0,51
0,0.10000000000000007,-0.5,4235.0,42
0,0.1200000000000001,-0.5,4223.0,42
0,0.14000000000000012,-0.5,4229.0,42
0,0.15999999999999992,-0.5,4225.0,42
0,-0.16000000000000006,-0.48,4508.0,51
0,-0.14,-0.48,4449.0,51
0,-0.12,-0.48,4403.0,51
0,-0.09999999999999998,-0.48,4353.0,51
0,-0.07999999999999996,-0.48,4307.0,50
0,-0.059999999999999935,-0.48,4265.0,50
0,-0.040000000000000036,-0.48,4235.0,51
0,-0.020000000000000014,-0.48,4198.0,51
0,0.0,-0.48,4174.0,51
0,0.020000000000000014,-0.48,4161.0,51
0,0.040000000000000036,-0.48,4143.0,51
0,0.06000000000000005,-0.48,4139.0,51
0,0.08000000000000007,-0.48,4125.0,51
0,0.10000000000000007,-0.48,4114.0,51
0,0.1200000000000001,-0.48,4229.0,42
0,0.14000000000000012,-0.48,4232.0,42
0,0.15999999999999992,-0.48,4243.0,42
0,0.17999999999999994,-0.48,4236.0,42
0,-0.14,-0.46,4483.0,51
0,-0.12,-0.46,4431.0,51
0,-0.09999999999999998,-0.46,4379.0,51
0,-0.07999999999999996,-0.46,4332.0,51
0,-0.059999999999999935,-0.46,4288.0,50
0,-0.040000000000000036,-0.46,4254.0,50
0,-0.020000000000000014,-0.46,4217.0,50
0,0.0,-0.46,4198.0,51
0,0.020000000000000014,-0.46,4181.0,51
0,0.040000000000000036,-0.46,4161.0,51
0,0.06000000000000005,-0.46,4146.0,51
0,0.08000000000000007,-0.46,4137.0,51
0,0.10000000000000007,-0.46,4122.0,51
0,0.1200000000000001,-0.46,4244.0,42
0,0.14000000000000012,-0.46,4242.0,42
0,0.15999999999999992,-0.46,4228.0,42
0,0.17999999999999994,-0.46,4241.0,42
0,0.2,-0.46,4252.0,42
0,0.22,-0.46,4270.0,42
0,-0.12,-0.44,4458.0,51
0,-0.09999999999999998,-0.44,4407.0,51
0,-0.07999999999999996,-0.44,4362.0,51
0,-0.059999999999999935,-0.44,4316.0,51
0,-0.040000000000000036,-0.44,4270.0,50
0,-0.020000000000000014,-0.44,4239.0,50
0,0.0,-0.44,4215.0,51
0,0.020000000000000014,-0.44,4192.0,51
0,0.040000000000000036,-0.44,4174.0,51
