,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0.0,0.1,10.0,1.0,0.0,0.0
1,1,0.025,0.4,1.121125,0.44844999999999996,1.378875,0.55155
2,2,0.05,0.6000000000000001,0.6969305555555555,0.41815833333333335,0.969736111111111,0.5818416666666667
3,3,0.075,0.8,0.5370354166666668,0.42962833333333333,0.7129645833333335,0.5703716666666666
4,4,0.1,1.0,0.43596,0.43596,0.56404,0.56404
5,5,0.125,1.1,0.4081060606060606,0.44891666666666663,0.5009848484848485,0.5510833333333334
6,6,0.15,1.2000000000000002,0.3818499999999999,0.45822000000000007,0.4514833333333332,0.54178
7,7,0.175,1.3,0.3860397435897436,0.5018516666666667,0.3831910256410256,0.4981483333333333
8,8,0.2,1.4,0.3427333333333333,0.47982666666666673,0.3715523809523808,0.5201733333333333
9,9,0.225,1.5,0.3258022222222222,0.4887033333333333,0.3408644444444444,0.5112966666666666
10,10,0.25,1.6,0.3120135416666667,0.4992216666666667,0.3129864583333334,0.5007783333333333
11,11,0.275,1.7000000000000002,0.299693137254902,0.5094783333333334,0.2885421568627451,0.49052166666666663
12,12,0.3,1.8,0.3057277777777778,0.5503100000000001,0.2498277777777778,0.44969
13,13,0.325,1.8,0.2950027777777778,0.531005,0.2605527777777778,0.468995
14,14,0.35,1.9,0.2848526315789473,0.54122,0.2414631578947368,0.45878
15,15,0.375,2.0,0.276035,0.55207,0.223965,0.44793
16,16,0.4,2.0,0.2810883333333333,0.5621766666666665,0.2189116666666667,0.4378233333333334
17,17,0.425,0.0,0.0,,0.0,
18,18,0.45,0.0,0.0,,0.0,
19,19,0.475,0.0,0.0,,0.0,
20,20,0.5,0.0,0.0,,0.0,
