,Unnamed: 0.1,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,0.0,0.05,20.0,1.0,0.0,0.0
1,1,1,0.025,0.7000000000000001,0.7760928571428571,0.543265,0.6524785714285715,0.456735
2,2,2,0.05,1.0,0.589375,0.589375,0.410625,0.410625
3,3,3,0.075,1.2000000000000002,0.4817916666666666,0.5781499999999999,0.3515416666666666,0.4218499999999999
4,4,4,0.1,1.4,0.4095035714285714,0.5733050000000001,0.3047821428571428,0.4266949999999999
5,5,5,0.125,1.6,0.34943125,0.5590900000000001,0.27556875,0.4409099999999999
6,6,6,0.15,1.75,0.3174285714285714,0.5555,0.254,0.4445
7,7,7,0.175,1.9,0.2885657894736842,0.5482750000000001,0.23775,0.451725
8,8,8,0.2,2.0500000000000003,0.2633780487804878,0.5399250000000001,0.2244268292682926,0.4600749999999999
9,9,9,0.225,2.2,0.2422909090909091,0.5330400000000002,0.2122545454545454,0.4669599999999999
10,10,10,0.25,2.25,0.2514866666666667,0.565845,0.1929577777777777,0.4341549999999998
11,11,11,0.275,2.4000000000000004,0.23234375,0.5576250000000001,0.1843229166666666,0.4423749999999999
12,12,12,0.3,2.5500000000000003,0.2027607843137255,0.51704,0.1893960784313725,0.4829599999999999
13,13,13,0.325,2.6500000000000004,0.1906584905660377,0.5052449999999999,0.1867,0.494755
14,14,14,0.35,2.75,0.1923309090909091,0.52891,0.1713054545454545,0.4710899999999999
15,15,15,0.375,2.85,0.1749421052631579,0.498585,0.1759350877192982,0.5014149999999998
16,16,16,0.4,2.95,0.1762847457627119,0.5200400000000001,0.1626983050847457,0.4799599999999998
17,17,17,0.425,3.0,0.160355,0.4810650000000001,0.1729783333333333,0.518935
18,18,18,0.45,3.1500000000000004,0.160495238095238,0.5055599999999999,0.1569650793650793,0.49444
19,19,19,0.475,3.2,0.1543234375,0.4938349999999999,0.1581765625,0.506165
20,20,20,0.5,3.3000000000000003,0.1417666666666666,0.4678299999999998,0.1612636363636364,0.5321700000000001
