,I_e,I_i,avg_speed
0,-0.52,-1.0,0.0035290690736577124
0,-0.5,-1.0,0.007186017028005754
0,-0.48,-1.0,0.015209205320365824
0,-0.46,-1.0,0.015953088560214844
0,-0.44,-1.0,0.01660506307829513
0,-0.42,-1.0,0.017204155970405678
0,-0.4,-1.0,0.01770616097405699
0,-0.38,-1.0,0.018166600771408508
0,0.3800000000000001,-1.0,1.8980030742614422e-05
0,-0.52,-0.98,0.002447055801828237
0,-0.5,-0.98,0.003520584661196208
0,-0.48,-0.98,0.006818836231131263
0,-0.46,-0.98,0.01572525331192698
0,-0.44,-0.98,0.016443505073827823
0,-0.42,-0.98,0.017045169049410308
0,-0.4,-0.98,0.01759014542107319
0,-0.38,-0.98,0.018071518867360747
0,-0.36,-0.98,0.018479866304406505
0,-0.52,-0.96,0.0019666515956968675
0,-0.5,-0.96,0.002451356960823204
0,-0.48,-0.96,0.003682077991988708
0,-0.46,-0.96,0.006863941407878383
0,-0.44,-0.96,0.016206670406541626
0,-0.42,-0.96,0.016866139845084383
0,-0.4,-0.96,0.017430437108692777
0,-0.38,-0.96,0.017943480181771942
0,-0.36,-0.96,0.018397615140536196
0,-0.34,-0.96,0.018778924862898373
0,-0.5,-0.94,0.0018960679996665865
0,-0.48,-0.94,0.0024286317132818248
0,-0.46,-0.94,0.0035975682036065533
0,-0.44,-0.94,0.006511450696044466
0,-0.42,-0.94,0.01663245358282175
0,-0.4,-0.94,0.017269101754376803
0,-0.38,-0.94,0.017810942548399107
0,-0.36,-0.94,0.018277084684747612
0,-0.34,-0.94,0.018674864566809564
0,-0.31999999999999995,-0.94,0.019029220692646162
0,-0.5,-0.92,0.002756127140938486
0,-0.48,-0.92,0.0018708858417447885
0,-0.46,-0.92,0.0024553147870047206
0,-0.44,-0.92,0.0035535225921601364
0,-0.42,-0.92,0.006123173684520196
0,-0.4,-0.92,0.01671985217341615
0,-0.38,-0.92,0.017615660890163296
0,-0.36,-0.92,0.018128972746699848
0,-0.34,-0.92,0.01855580345680484
0,-0.31999999999999995,-0.92,0.018930322527147152
0,-0.29999999999999993,-0.92,0.019255450768390296
0,-0.5,-0.9,0.0028145478624599374
0,-0.48,-0.9,0.0018726550628330807
0,-0.46,-0.9,0.0019374424119138057
0,-0.44,-0.9,0.002493564153738658
0,-0.42,-0.9,0.0035212470208827538
0,-0.4,-0.9,0.005890837799980618
0,-0.38,-0.9,0.014483404035637689
0,-0.36,-0.9,0.017946498336282632
0,-0.34,-0.9,0.018417927116816883
0,-0.31999999999999995,-0.9,0.018812975890288464
0,-0.29999999999999993,-0.9,0.019153941119622965
0,-0.28,-0.9,0.01942722669978343
0,-0.48,-0.88,0.002804625307284235
0,-0.46,-0.88,0.0015326727933371912
0,-0.44,-0.88,0.0019338005895735096
0,-0.42,-0.88,0.002413732516639586
0,-0.4,-0.88,0.0035008628719419644
0,-0.38,-0.88,0.0055873779464896065
0,-0.36,-0.88,0.012179625298044264
0,-0.34,-0.88,0.018235151354798786
0,-0.31999999999999995,-0.88,0.01868334276500789
0,-0.29999999999999993,-0.88,0.019043024894433935
0,-0.28,-0.88,0.019354146110053143
0,-0.26,-0.88,0.01958791776471695
0,-0.46,-0.86,0.001727899685483281
0,-0.44,-0.86,0.0015446325979222135
0,-0.42,-0.86,0.0018265357061563554
0,-0.4,-0.86,0.002385983663388969
0,-0.38,-0.86,0.003276901580609194
0,-0.36,-0.86,0.005426762460790931
0,-0.34,-0.86,0.011009997552553753
0,-0.31999999999999995,-0.86,0.018508486616857743
0,-0.29999999999999993,-0.86,0.018916365318199155
0,-0.28,-0.86,0.01924647603128596
0,-0.26,-0.86,0.019517147778367168
0,-0.24,-0.86,0.019739884277776898
0,-0.46,-0.84,0.002714774810643062
0,-0.44,-0.84,0.0013430288107319705
0,-0.42,-0.84,0.001557959111012165
0,-0.4,-0.84,0.0018375668883733065
0,-0.38,-0.84,0.0023716982324032097
0,-0.36,-0.84,0.0033087385416097686
0,-0.34,-0.84,0.005005779641608799
0,-0.31999999999999995,-0.84,0.00954242088597888
0,-0.29999999999999993,-0.84,0.018739013461032003
0,-0.28,-0.84,0.019095704037239567
0,-0.26,-0.84,0.019412747928129737
0,-0.24,-0.84,0.01964268664414156
0,-0.22,-0.84,0.019825510273114542
0,-0.44,-0.8200000000000001,0.0027844715753589603
0,-0.42,-0.8200000000000001,0.0012897771437627528
0,-0.4,-0.8200000000000001,0.0014744909472248643
0,-0.38,-0.8200000000000001,0.0017892705688712155
0,-0.36,-0.8200000000000001,0.0022670765009915606
0,-0.34,-0.8200000000000001,0.003100965653488221
0,-0.31999999999999995,-0.8200000000000001,0.004817731656332492
0,-0.29999999999999993,-0.8200000000000001,0.008896243280614575
0,-0.28,-0.8200000000000001,0.018943132863064108
0,-0.26,-0.8200000000000001,0.01926789427466445
0,-0.24,-0.8200000000000001,0.01954218276706533
0,-0.22,-0.8200000000000001,0.019758765049157766
0,-0.2,-0.8200000000000001,0.019905459654296312
0,-0.17999999999999994,-0.8200000000000001,0.020007254351714486
0,-0.42,-0.8,0.0011739732328104153
0,-0.4,-0.8,0.001265862235644242
0,-0.38,-0.8,0.0015370761657330964
0,-0.36,-0.8,0.0018167111646268286
0,-0.34,-0.8,0.002303518426970614
0,-0.31999999999999995,-0.8,0.0029002474815300948
0,-0.29999999999999993,-0.8,0.004454115779951728
0,-0.28,-0.8,0.008204951257474852
0,-0.26,-0.8,0.01853294534935008
0,-0.24,-0.8,0.019426730568944485
0,-0.22,-0.8,0.019660746122075308
0,-0.2,-0.8,0.019826313006591722
0,-0.17999999999999994,-0.8,0.019945552215540244
0,-0.16000000000000006,-0.8,0.020031511434401107
0,-0.42,-0.78,0.0013786729100526292
0,-0.4,-0.78,0.0011741106004010552
0,-0.38,-0.78,0.0012597044094404485
0,-0.36,-0.78,0.0014464613362324557
0,-0.34,-0.78,0.0016838636106570996
0,-0.31999999999999995,-0.78,0.002161002309805049
0,-0.29999999999999993,-0.78,0.002962591549735902
0,-0.28,-0.78,0.0042624509387443514
0,-0.26,-0.78,0.007105143166487367
0,-0.24,-0.78,0.015586669989135497
0,-0.22,-0.78,0.019523517060178346
0,-0.2,-0.78,0.019731341410157727
0,-0.17999999999999994,-0.78,0.01986231369508238
0,-0.16000000000000006,-0.78,0.01996810952716656
0,-0.14,-0.78,0.020001625578838098
0,-0.4,-0.76,0.0010548773780489824
0,-0.38,-0.76,0.0011385321080597988
0,-0.36,-0.76,0.0013153074539379184
0,-0.34,-0.76,0.0014279018030355442
0,-0.31999999999999995,-0.76,0.0016876597610219761
0,-0.29999999999999993,-0.76,0.00216732345668701
0,-0.28,-0.76,0.0026971089639064414
0,-0.26,-0.76,0.0039902806388978935
0,-0.24,-0.76,0.006549335182707558
0,-0.22,-0.76,0.013344684213517703
0,-0.2,-0.76,0.019610471451103957
0,-0.17999999999999994,-0.76,0.019772212052611822
0,-0.16000000000000006,-0.76,0.019891949652168846
0,-0.14,-0.76,0.019942697725422683
0,-0.12,-0.76,0.01995997353399688
0,-0.38,-0.74,0.0009961920469235461
0,-0.36,-0.74,0.0010864049882887978
0,-0.34,-0.74,0.0012166354013771487
0,-0.31999999999999995,-0.74,0.0013796370471496607
0,-0.29999999999999993,-0.74,0.0015489012866850547
0,-0.28,-0.74,0.002121067172847417
0,-0.26,-0.74,0.002665772979670956
0,-0.24,-0.74,0.003876930774835939
0,-0.22,-0.74,0.006164080871211343
0,-0.2,-0.74,0.011347101052843667
0,-0.17999999999999994,-0.74,0.01967918684563537
0,-0.16000000000000006,-0.74,0.019805927461219994
0,-0.14,-0.74,0.019866157702475698
