,Unnamed: 0.1,Unnamed: 0,tau_a,dom_frequ,down_duration_ratio,down_duration,up_duration_ratio,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,10.0,13.3,0.48282499999999995,0.0363026315789473,0.517175,0.4828249999999999,0.0388853383458646,0.517175
1,1,1,300.0,3.3000000000000003,0.470675,0.1426287878787878,0.5293250000000002,0.470675,0.1604015151515151,0.5293250000000002
2,2,2,600.0,2.4000000000000004,0.488785,0.2036604166666666,0.511215,0.488785,0.2130062499999999,0.511215
3,3,3,900.0,1.9,0.47362,0.2492736842105263,0.5263800000000001,0.47362,0.2770421052631579,0.5263800000000001
4,4,4,1200.0,1.65,0.47250000000000003,0.2863636363636364,0.5275,0.4725,0.3196969696969697,0.5275
5,5,5,1500.0,1.5,0.4747249999999999,0.3164833333333333,0.525275,0.4747249999999999,0.3501833333333334,0.525275
6,6,6,1800.0,1.35,0.467875,0.3465740740740741,0.5321250000000001,0.467875,0.3941666666666667,0.5321250000000001
7,7,7,2100.0,1.25,0.46785499999999997,0.374284,0.532145,0.4678549999999999,0.425716,0.532145
8,8,8,2400.0,1.15,0.47548,0.4134608695652173,0.52452,0.47548,0.4561043478260869,0.52452
9,9,9,2700.0,1.1,0.466665,0.4242409090909091,0.533335,0.466665,0.48485,0.533335
10,10,10,3000.0,1.05,0.46950000000000003,0.4471428571428572,0.5305,0.4695,0.5052380952380953,0.5305
11,11,11,3300.0,1.0,0.446695,0.446695,0.553305,0.446695,0.553305,0.553305
12,12,12,3600.0,0.95,0.47522,0.5002315789473685,0.5247799999999999,0.47522,0.5524,0.5247799999999999
13,13,13,3900.0,0.95,0.4498499999999999,0.4735263157894737,0.5501499999999999,0.4498499999999999,0.5791052631578948,0.5501499999999999
14,14,14,4200.0,0.9,0.47600500000000007,0.5288944444444446,0.523995,0.476005,0.5822166666666667,0.523995
15,15,15,4500.0,0.8500000000000001,0.475095,0.558935294117647,0.5249050000000001,0.475095,0.6175352941176471,0.5249050000000001
16,16,16,4800.0,0.8500000000000001,0.46728000000000003,0.5497411764705883,0.53272,0.46728,0.6267294117647059,0.53272
17,17,17,5100.0,0.8,0.46625500000000003,0.58281875,0.533745,0.466255,0.6671812500000001,0.533745
18,18,18,5400.0,0.8,0.47003000000000006,0.5875375,0.52997,0.47003,0.6624625000000001,0.52997
19,19,19,5700.0,0.75,0.47883000000000003,0.6384400000000001,0.52117,0.47883,0.6948933333333335,0.52117
20,20,20,6000.0,0.75,0.47211,0.62948,0.52789,0.47211,0.7038533333333334,0.52789
