,Unnamed: 0.1,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,0.0,0.05,20.0,1.0,0.0,0.0
1,1,1,0.025,0.7000000000000001,0.7107,0.49749,0.7178714285714285,0.50251
2,2,2,0.05,1.0,0.5256649999999999,0.5256649999999999,0.474335,0.474335
3,3,3,0.075,1.25,0.415108,0.5188849999999999,0.384892,0.481115
4,4,4,0.1,1.4500000000000002,0.3496310344827586,0.506965,0.3400241379310344,0.4930349999999999
5,5,5,0.125,1.65,0.3038878787878788,0.5014149999999999,0.3021727272727273,0.4985849999999999
6,6,6,0.15,1.8,0.2733305555555556,0.491995,0.282225,0.5080049999999999
7,7,7,0.175,1.95,0.2494589743589744,0.486445,0.2633615384615385,0.513555
8,8,8,0.2,2.1,0.2285285714285714,0.4799099999999999,0.2476619047619048,0.5200900000000002
9,9,9,0.225,2.2,0.2178340909090909,0.479235,0.2367113636363636,0.520765
10,10,10,0.25,2.35,0.1998914893617021,0.4697449999999999,0.2256404255319149,0.5302550000000001
11,11,11,0.275,2.45,0.1891204081632653,0.463345,0.2190428571428571,0.536655
12,12,12,0.3,2.5500000000000003,0.1803039215686274,0.4597750000000001,0.2118529411764705,0.540225
13,13,13,0.325,2.6500000000000004,0.1711150943396226,0.453455,0.206243396226415,0.546545
14,14,14,0.35,2.75,0.1620254545454545,0.4455699999999999,0.2016109090909091,0.5544300000000001
15,15,15,0.375,2.95,0.1529084745762712,0.4510800000000001,0.1860745762711864,0.5489199999999999
16,16,16,0.4,2.95,0.1482745762711864,0.4374099999999999,0.1907084745762712,0.56259
17,17,17,0.425,3.0500000000000003,0.1412065573770491,0.4306799999999998,0.1866622950819672,0.56932
18,18,18,0.45,3.1,0.1371645161290322,0.4252099999999998,0.1854161290322581,0.5747900000000002
19,19,19,0.475,3.25,0.1314107692307692,0.4270849999999998,0.1762815384615385,0.5729150000000001
20,20,20,0.5,3.35,0.1266955223880597,0.42443,0.1718119402985074,0.5755699999999999
