,b,tau_a,dom_frequ,down_duration,up_duration
0,0.0,1.0,0.03333333333333333,60.0,0.0
0,0.025,1.0,0.03333333333333333,60.0,0.0
0,0.05,1.0,0.03333333333333333,60.0,0.0
0,0.07500000000000001,1.0,0.03333333333333333,60.0,0.0
0,0.1,1.0,0.0,0.0,0.0
0,0.125,1.0,0.0,0.0,0.0
0,0.15000000000000002,1.0,0.0,0.0,0.0
0,0.17500000000000002,1.0,0.03333333333333333,0.0,60.0
0,0.2,1.0,0.03333333333333333,0.0,60.0
0,0.225,1.0,0.0,0.0,0.0
0,0.25,1.0,0.03333333333333333,0.0,60.0
0,0.275,1.0,0.03333333333333333,0.0,60.0
0,0.30000000000000004,1.0,0.03333333333333333,0.0,60.0
0,0.325,1.0,0.03333333333333333,0.0,60.0
0,0.35000000000000003,1.0,0.03333333333333333,0.0,60.0
0,0.375,1.0,0.03333333333333333,0.0,60.0
0,0.4,1.0,63.93333333333333,0.013108602711157458,0.018173983315954118
0,0.42500000000000004,1.0,145.1,0.013783597518952449,0.0
0,0.45,1.0,49.3,0.021680594996619337,0.018887356321839084
0,0.47500000000000003,1.0,83.96666666666667,0.011169710202461295,0.012649265581579992
0,0.5,1.0,117.0,0.014764301994301995,0.0023297150997151
0,0.0,300.0,0.03333333333333333,60.0,0.0
0,0.025,300.0,0.9,1.0518962962962966,1.170325925925926
0,0.05,300.0,1.4,0.6857690476190477,0.742802380952381
0,0.07500000000000001,300.0,1.7333333333333334,0.560498076923077,0.593348076923077
0,0.1,300.0,2.033333333333333,0.4860524590163935,0.4975540983606558
0,0.125,300.0,2.3,0.43523768115942035,0.4343275362318841
0,0.15000000000000002,300.0,2.533333333333333,0.4016539473684211,0.3878197368421053
0,0.17500000000000002,300.0,2.7333333333333334,0.37645000000000006,0.3552573170731707
0,0.2,300.0,3.0,0.3331977777777778,0.3334688888888889
0,0.225,300.0,3.1666666666666665,0.32038736842105264,0.31119157894736843
0,0.25,300.0,3.3666666666666667,0.3069148514851485,0.2871445544554455
0,0.275,300.0,3.533333333333333,0.29676886792452833,0.2692688679245283
