,b,tau_a,dom_frequ,down_duration,up_duration
0,0.0,1.0,0.03333333333333333,60.0,0.0
0,0.025,1.0,0.03333333333333333,60.0,0.0
0,0.05,1.0,0.0,0.0,0.0
0,0.07500000000000001,1.0,0.0,0.0,0.0
0,0.1,1.0,0.03333333333333333,60.0,0.0
0,0.125,1.0,0.0,0.0,0.0
0,0.15000000000000002,1.0,0.0,0.0,0.0
0,0.17500000000000002,1.0,0.0,0.0,0.0
0,0.2,1.0,0.0,0.0,0.0
0,0.225,1.0,0.0,0.0,0.0
0,0.25,1.0,0.0,0.0,0.0
0,0.275,1.0,0.0,0.0,0.0
0,0.30000000000000004,1.0,0.0,0.0,0.0
0,0.325,1.0,0.0,0.0,0.0
0,0.35000000000000003,1.0,0.0,0.0,0.0
0,0.375,1.0,0.0,0.0,0.0
0,0.4,1.0,0.0,0.0,0.0
0,0.42500000000000004,1.0,0.0,0.0,0.0
0,0.45,1.0,0.0,0.0,0.0
0,0.47500000000000003,1.0,0.0,0.0,0.0
0,0.5,1.0,0.0,0.0,0.0
0,0.0,300.0,0.03333333333333333,60.0,0.0
0,0.025,300.0,0.9333333333333333,1.0217928571428572,1.1210642857142856
0,0.05,300.0,1.3666666666666667,0.653509756097561,0.8099048780487806
0,0.07500000000000001,300.0,1.7,0.5329686274509804,0.6435019607843138
0,0.1,300.0,2.0,0.46158000000000005,0.53842
0,0.125,300.0,2.2333333333333334,0.41873283582089554,0.476789552238806
0,0.15000000000000002,300.0,2.466666666666667,0.3841851351351352,0.42662567567567566
0,0.17500000000000002,300.0,2.7,0.35577777777777786,0.384962962962963
0,0.2,300.0,2.9,0.3367850574712644,0.35287011494252873
0,0.225,300.0,3.0666666666666664,0.32284021739130436,0.3293336956521739
0,0.25,300.0,3.2333333333333334,0.290640206185567,0.32791649484536084
0,0.275,300.0,3.4,0.29880392156862745,0.2894313725490196
0,0.30000000000000004,300.0,3.5666666666666664,0.2883663551401869,0.272381308411215
0,0.325,300.0,3.8,0.28873771929824565,0.2375780701754386
