,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,0.0,0.0,,0.0,
1,1,300.0,2.2,0.2275090909090909,0.5005200000000001,0.2270363636363636,0.49948
2,2,600.0,1.6,0.30871875,0.49395,0.31628125,0.50605
3,3,900.0,1.3,0.3859538461538461,0.50174,0.3832769230769231,0.4982600000000001
4,4,1200.0,1.1,0.4455727272727273,0.49013,0.4635181818181818,0.5098699999999999
5,5,1500.0,1.05,0.5161333333333333,0.54194,0.4362476190476191,0.45806
6,6,1800.0,0.95,0.5653105263157895,0.537045,0.4873210526315789,0.46295499999999995
7,7,2100.0,0.8500000000000001,0.6269000000000001,0.532865,0.5495705882352941,0.4671349999999999
8,8,2400.0,0.8,0.6639250000000001,0.5311400000000001,0.586075,0.46886
9,9,2700.0,0.75,0.6948600000000001,0.5211450000000001,0.6384733333333333,0.478855
10,10,3000.0,0.75,0.6981133333333334,0.523585,0.63522,0.476415
11,11,3300.0,0.7000000000000001,0.7527928571428572,0.526955,0.6757785714285715,0.473045
12,12,3600.0,0.65,0.8327692307692309,0.5413,0.7056923076923077,0.45869999999999994
13,13,3900.0,0.65,0.8250000000000001,0.5362499999999999,0.7134615384615386,0.46375
14,14,4200.0,0.6000000000000001,0.8297833333333333,0.49787000000000003,0.8368833333333332,0.50213
15,15,4500.0,0.6000000000000001,0.8588166666666667,0.51529,0.80785,0.48471000000000003
16,16,4800.0,0.6000000000000001,0.8838416666666667,0.530305,0.782825,0.469695
17,17,5100.0,0.55,0.9523636363636364,0.5237999999999999,0.8658181818181819,0.4762
18,18,5400.0,0.55,0.9639272727272729,0.5301600000000001,0.8542545454545455,0.46984
19,19,5700.0,0.55,0.9848363636363636,0.5416599999999999,0.8333454545454547,0.4583400000000001
20,20,6000.0,0.5,1.08958,0.54479,0.91042,0.45521
