,Unnamed: 0.1,Unnamed: 0,tau_a,dom_frequ,down_duration_ratio,down_duration,up_duration_ratio,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,10.0,12.45,0.5328299999999999,0.0427975903614457,0.46717,0.5328299999999999,0.0375236947791164,0.46717
1,1,1,300.0,3.25,0.5344300000000002,0.16444,0.4655699999999998,0.5344300000000002,0.1432523076923076,0.4655699999999998
2,2,2,600.0,2.3000000000000003,0.505695,0.2198673913043478,0.49430499999999994,0.505695,0.2149152173913043,0.4943049999999999
3,3,3,900.0,1.9,0.5006600000000001,0.2635052631578948,0.49933999999999984,0.5006600000000001,0.2628105263157894,0.4993399999999998
4,4,4,1200.0,1.65,0.499625,0.3028030303030303,0.500375,0.499625,0.3032575757575758,0.500375
5,5,5,1500.0,1.4500000000000002,0.49534500000000004,0.3416172413793103,0.504655,0.495345,0.3480379310344827,0.504655
6,6,6,1800.0,1.35,0.5048849999999999,0.3739888888888888,0.4951150000000001,0.5048849999999999,0.3667518518518519,0.4951150000000001
7,7,7,2100.0,1.25,0.504335,0.403468,0.49566499999999997,0.504335,0.396532,0.4956649999999999
8,8,8,2400.0,1.15,0.49662,0.4318434782608695,0.50338,0.49662,0.4377217391304348,0.50338
9,9,9,2700.0,1.1,0.503765,0.4579681818181818,0.49623500000000004,0.503765,0.4511227272727273,0.496235
10,10,10,3000.0,1.05,0.49693999999999994,0.4732761904761905,0.50306,0.4969399999999999,0.479104761904762,0.50306
11,11,11,3300.0,1.0,0.50439,0.50439,0.4956100000000001,0.50439,0.4956100000000001,0.4956100000000001
12,12,12,3600.0,0.95,0.5022,0.5286315789473685,0.49779999999999996,0.5022,0.524,0.4977999999999999
13,13,13,3900.0,0.9,0.5008950000000001,0.5565500000000001,0.499105,0.5008950000000001,0.5545611111111112,0.499105
14,14,14,4200.0,0.9,0.496935,0.55215,0.503065,0.496935,0.5589611111111111,0.503065
15,15,15,4500.0,0.8500000000000001,0.501185,0.5896294117647058,0.49881500000000006,0.501185,0.5868411764705883,0.498815
16,16,16,4800.0,0.8,0.50504,0.6313000000000001,0.49496,0.50504,0.6187,0.49496
17,17,17,5100.0,0.8,0.501065,0.6263312500000001,0.498935,0.501065,0.6236687500000001,0.498935
18,18,18,5400.0,0.8,0.46592,0.5824,0.5340800000000001,0.46592,0.6676000000000001,0.5340800000000001
19,19,19,5700.0,0.75,0.46731,0.6230800000000001,0.5326900000000001,0.46731,0.7102533333333335,0.5326900000000001
20,20,20,6000.0,0.75,0.47208000000000006,0.6294400000000001,0.5279200000000001,0.47208,0.7038933333333335,0.5279200000000001
