,I_e,I_i,stability,static,dynamic,double,p_random,p_down
0,0.8600000000000001,-1.0,1,0,0,0,1,1
0,0.8700000000000001,-1.0,1,0,0,0,1,1
0,0.8800000000000001,-1.0,1,0,0,0,1,1
0,0.8900000000000001,-1.0,1,0,0,0,1,1
0,0.9000000000000001,-1.0,1,0,0,0,1,1
0,0.9100000000000001,-1.0,1,0,0,0,1,1
0,0.9199999999999999,-1.0,1,0,0,0,1,1
0,0.9299999999999999,-1.0,1,0,0,0,1,1
0,0.94,-1.0,1,0,0,0,1,1
0,0.95,-1.0,1,0,0,0,1,1
0,0.96,-1.0,1,0,0,0,1,1
0,0.97,-1.0,1,0,0,0,1,1
0,0.98,-1.0,1,0,0,0,1,1
0,0.99,-1.0,1,0,0,0,1,1
0,1.0,-1.0,1,0,0,0,1,1
0,-1.0,-0.99,1,0,0,0,1,1
0,-0.99,-0.99,1,0,0,0,1,1
0,-0.98,-0.99,1,0,0,0,1,1
0,-0.97,-0.99,1,0,0,0,1,1
0,-0.96,-0.99,1,0,0,0,1,1
0,-0.95,-0.99,1,0,0,0,1,1
0,-0.94,-0.99,1,0,0,0,1,1
0,-0.9299999999999999,-0.99,1,0,0,0,1,1
0,-0.92,-0.99,1,0,0,0,1,1
0,-0.91,-0.99,1,0,0,0,1,1
0,-0.9,-0.99,1,0,0,0,1,1
0,-0.89,-0.99,1,0,0,0,1,1
0,-0.88,-0.99,1,0,0,0,1,1
0,-0.87,-0.99,1,0,0,0,1,1
0,-0.86,-0.99,1,0,0,0,1,1
0,-0.85,-0.99,1,0,0,0,1,1
0,-0.84,-0.99,1,0,0,0,1,1
0,-0.83,-0.99,1,0,0,0,1,1
0,-0.8200000000000001,-0.99,1,0,0,0,1,1
0,-0.81,-0.99,1,0,0,0,1,1
0,-0.8,-0.99,1,0,0,0,1,1
0,-0.79,-0.99,1,0,0,0,1,1
0,-0.78,-0.99,1,0,0,0,1,1
0,-0.77,-0.99,1,0,0,0,1,1
0,-0.76,-0.99,1,0,0,0,1,1
0,-0.75,-0.99,1,0,0,0,1,1
0,-0.74,-0.99,1,0,0,0,1,1
0,-0.73,-0.99,1,0,0,0,1,1
0,-0.72,-0.99,1,0,0,0,1,1
0,-0.71,-0.99,1,0,0,0,1,1
0,-0.7,-0.99,1,0,0,0,1,1
0,-0.69,-0.99,1,0,0,0,1,1
0,-0.6799999999999999,-0.99,1,0,0,0,1,1
0,-0.6699999999999999,-0.99,1,1,0,0,4,4
0,-0.6599999999999999,-0.99,1,1,1,0,4,4
