,I_e,I_i,dom_frequ,down_duration,up_duration
0,-0.5700000000000001,-0.99,2.0,0.37957500000000005,0.12042500000000002
0,-0.56,-0.99,2.0,0.37610000000000005,0.12390000000000001
0,-0.55,-0.99,2.0,0.37011,0.12989
0,-0.54,-0.99,2.2,0.3436181818181818,0.11092727272727274
0,-0.53,-0.99,2.0,0.3613050000000001,0.138695
0,-0.52,-0.99,2.0,0.35894000000000004,0.14106000000000002
0,-0.51,-0.99,2.1,0.3400904761904762,0.1361
0,-0.5,-0.99,2.1,0.3377380952380952,0.13845238095238097
0,-0.49,-0.99,2.1,0.3358904761904762,0.1403
0,-0.48,-0.99,2.1,0.3342619047619048,0.14192857142857143
0,-0.47,-0.99,2.1,0.3309095238095238,0.1452809523809524
0,0.3800000000000001,-0.99,1.3,0.12093846153846155,0.6482923076923077
0,-0.6599999999999999,-0.98,3.5,0.2729742857142857,0.012740000000000003
0,-0.6499999999999999,-0.98,3.6,0.25877222222222224,0.019005555555555557
0,-0.64,-0.98,3.8000000000000003,0.24072894736842104,0.022428947368421052
0,-0.63,-0.98,4.0,0.22506750000000003,0.0249325
0,-0.62,-0.98,4.1000000000000005,0.21653658536585363,0.027365853658536582
0,-0.61,-0.98,4.1000000000000005,0.21378048780487802,0.030121951219512194
0,-0.6,-0.98,7.0,0.12328,0.01957714285714286
0,-0.59,-0.98,4.0,0.21386500000000003,0.03613500000000001
0,-0.5800000000000001,-0.98,1.7000000000000002,0.47216470588235304,0.11607058823529413
0,-0.5700000000000001,-0.98,2.0,0.38211500000000004,0.11788499999999999
0,-0.56,-0.98,2.0,0.37801500000000005,0.121985
0,-0.55,-0.98,2.0,0.374605,0.125395
0,-0.54,-0.98,2.0,0.37173500000000004,0.12826500000000002
0,-0.53,-0.98,2.0,0.365335,0.13466500000000003
0,-0.52,-0.98,2.0,0.36679500000000004,0.13320500000000002
0,-0.51,-0.98,2.1,0.3461809523809524,0.13000952380952382
0,-0.5,-0.98,2.1,0.3395904761904762,0.1366
0,-0.49,-0.98,2.1,0.3381809523809524,0.1380095238095238
0,-0.48,-0.98,2.1,0.3359428571428572,0.14024761904761907
0,-0.47,-0.98,2.2,0.30922727272727274,0.14531818181818185
0,-0.46,-0.98,2.2,0.30485,0.14969545454545458
0,0.3800000000000001,-0.98,1.7000000000000002,0.12304705882352943,0.46518823529411774
0,-0.6599999999999999,-0.97,5.2,0.1875673076923077,0.004740384615384616
0,-0.6499999999999999,-0.97,3.6,0.2602055555555556,0.01757222222222222
0,-0.64,-0.97,3.8000000000000003,0.2419868421052632,0.021171052631578948
0,-0.63,-0.97,10.700000000000001,0.08469532710280374,0.008762616822429905
0,-0.62,-0.97,4.1000000000000005,0.21799756097560974,0.025904878048780486
0,-0.61,-0.97,4.1000000000000005,0.21483170731707316,0.029070731707317065
