,I_e,I_i,stability,turing,p_random,p_turing
0,0.0,0.0,1,0,1,0
0,0.0,0.11666666666666667,1,0,1,0
0,0.0,0.23333333333333334,1,0,1,0
0,0.0,0.35,1,0,1,0
0,0.0,0.4666666666666667,1,0,1,0
0,0.0,0.5833333333333334,1,0,1,0
0,0.0,0.7,1,0,1,0
0,0.0,0.8166666666666667,1,0,1,0
0,0.0,0.9333333333333333,1,0,1,0
0,0.0,1.05,1,0,1,0
0,0.0,1.1666666666666667,1,0,1,0
0,0.0,1.2833333333333334,1,0,1,0
0,0.0,1.4,1,0,1,0
0,0.0,1.5166666666666666,1,0,1,0
0,0.0,1.6333333333333333,1,0,1,0
0,0.0,1.75,1,0,1,0
0,0.0,1.8666666666666667,1,0,1,0
0,0.0,1.9833333333333334,1,0,1,0
0,0.0,2.1,1,0,1,0
0,0.0,2.216666666666667,1,0,1,0
0,0.0,2.3333333333333335,1,0,1,0
0,0.0,2.45,1,0,1,0
0,0.0,2.566666666666667,1,0,1,0
0,0.0,2.6833333333333336,1,0,1,0
0,0.0,2.8,1,0,1,0
0,0.0,2.9166666666666665,1,0,1,0
0,0.0,3.033333333333333,1,0,1,0
0,0.0,3.15,1,0,1,0
0,0.0,3.2666666666666666,1,0,1,0
0,0.0,3.3833333333333333,1,0,1,0
0,0.0,3.5,1,0,1,0
0,0.0,3.6166666666666667,1,0,1,0
0,0.0,3.7333333333333334,1,0,1,0
0,0.0,3.85,1,0,1,0
0,0.0,3.966666666666667,1,0,1,0
0,0.0,4.083333333333333,1,0,1,0
0,0.0,4.2,1,0,1,0
0,0.0,4.316666666666666,1,0,1,0
0,0.0,4.433333333333334,1,0,1,0
0,0.0,4.55,1,0,1,0
0,0.0,4.666666666666667,1,0,1,0
0,0.0,4.783333333333333,1,0,1,0
0,0.0,4.9,1,0,1,0
0,0.0,5.016666666666667,1,0,1,0
0,0.0,5.133333333333334,1,0,1,0
0,0.0,5.25,1,0,1,0
0,0.0,5.366666666666667,1,0,1,0
0,0.0,5.483333333333333,1,0,1,0
0,0.0,5.6,1,0,1,0
0,0.0,5.716666666666667,1,0,1,0
0,0.0,5.833333333333333,1,0,1,0
0,0.0,5.95,1,0,1,0
0,0.0,6.066666666666666,1,0,1,0
0,0.0,6.183333333333334,1,0,1,0
0,0.0,6.3,1,0,1,0
0,0.0,6.416666666666667,1,0,1,0
0,0.0,6.533333333333333,1,0,1,0
0,0.0,6.65,1,0,1,0
0,0.0,6.766666666666667,1,0,1,0
0,0.0,6.883333333333334,1,0,1,0
0,0.0,7.0,1,0,1,0
0,0.11666666666666667,0.0,1,0,1,0
0,0.11666666666666667,0.11666666666666667,1,0,1,0
0,0.11666666666666667,0.23333333333333334,1,0,1,0
0,0.11666666666666667,0.35,1,0,1,0
0,0.11666666666666667,0.4666666666666667,1,0,1,0
0,0.11666666666666667,0.5833333333333334,1,0,1,0
0,0.11666666666666667,0.7,1,0,1,0
0,0.11666666666666667,0.8166666666666667,1,0,1,0
