,I_e,I_i,stability,turing,turing_hopf,p_random,p_turing
0,-0.6000000000000001,-1.7999999999999998,1,1,0,3,3
0,-0.6000000000000001,-1.4,1,0,0,1,0
0,-0.6000000000000001,-1.0,1,0,0,1,0
0,-0.6000000000000001,-0.5999999999999996,1,0,0,1,0
0,-0.6000000000000001,-0.1999999999999993,1,0,0,1,0
0,-0.6000000000000001,0.20000000000000018,1,0,0,1,0
0,-0.6000000000000001,0.6000000000000005,1,0,0,1,0
0,-0.6000000000000001,1.0,1,0,0,1,0
0,-0.6000000000000001,1.4000000000000004,1,0,0,1,0
0,-0.6000000000000001,1.8000000000000007,1,0,0,1,0
0,-0.6000000000000001,2.2,0,0,0,1,0
0,-0.6000000000000001,2.6000000000000005,1,0,0,1,0
0,-0.6000000000000001,3.0,1,0,0,1,0
0,-0.30000000000000027,-5.0,1,0,0,1,0
0,-0.30000000000000027,-4.6,1,0,0,1,0
0,-0.30000000000000027,-4.2,1,0,0,1,0
0,-0.30000000000000027,-3.8,1,0,0,1,0
0,-0.30000000000000027,-3.4,1,0,0,1,0
0,-0.30000000000000027,-3.0,1,0,0,1,0
0,-0.30000000000000027,-2.5999999999999996,1,0,0,1,0
0,-0.30000000000000027,-2.1999999999999997,1,0,0,1,0
0,-0.30000000000000027,-1.7999999999999998,1,0,0,1,0
0,-0.30000000000000027,-1.4,2,1,0,1,3
0,-0.30000000000000027,-1.0,2,0,0,1,0
0,-0.30000000000000027,-0.5999999999999996,2,0,0,1,0
0,-0.30000000000000027,-0.1999999999999993,1,0,0,1,0
0,-0.30000000000000027,0.20000000000000018,1,0,0,1,0
0,-0.30000000000000027,0.6000000000000005,1,0,0,1,0
0,-0.30000000000000027,1.0,1,0,0,1,0
0,-0.30000000000000027,1.4000000000000004,1,0,0,1,0
0,-0.30000000000000027,1.8000000000000007,0,0,0,1,0
0,-0.30000000000000027,2.2,0,0,0,1,0
0,-0.30000000000000027,2.6000000000000005,0,0,0,1,0
0,-0.30000000000000027,3.0,0,0,0,1,0
0,0.0,-5.0,1,0,0,1,0
0,0.0,-4.6,1,0,0,1,0
0,0.0,-4.2,1,0,0,1,0
0,0.0,-3.8,1,0,0,1,0
0,0.0,-3.4,1,0,0,1,0
0,0.0,-3.0,1,0,0,1,0
0,0.0,-2.5999999999999996,1,0,0,1,0
0,0.0,-2.1999999999999997,1,0,0,1,0
0,0.0,-1.7999999999999998,1,0,0,1,0
0,0.0,-1.4,2,1,0,1,3
0,0.0,-1.0,2,0,0,1,0
0,0.0,-0.5999999999999996,2,0,0,1,0
0,0.0,-0.1999999999999993,2,0,0,1,0
0,0.0,0.20000000000000018,2,0,0,1,0
0,0.0,0.6000000000000005,2,0,0,1,0
0,0.0,1.0,2,0,0,1,0
0,0.0,1.4000000000000004,2,0,0,1,0
0,0.0,1.8000000000000007,1,0,0,1,0
0,0.0,2.2,2,0,0,1,0
0,0.0,2.6000000000000005,2,0,0,1,0
0,0.0,3.0,2,0,0,1,0
0,0.2999999999999998,-5.0,1,0,0,1,0
0,0.2999999999999998,-4.6,1,0,0,1,0
0,0.2999999999999998,-4.2,1,0,0,1,0
0,0.2999999999999998,-3.8,1,0,0,1,0
0,0.2999999999999998,-3.4,1,0,0,1,0
0,0.2999999999999998,-3.0,1,0,0,1,0
0,0.2999999999999998,-2.5999999999999996,1,0,0,1,0
0,0.2999999999999998,-2.1999999999999997,1,0,0,1,0
0,0.2999999999999998,-1.7999999999999998,1,0,0,1,0
0,0.2999999999999998,-1.4,1,0,0,1,0
0,0.2999999999999998,-1.0,2,1,0,1,3
0,0.2999999999999998,-0.5999999999999996,2,0,0,1,0
0,0.2999999999999998,-0.1999999999999993,2,0,0,1,0
0,0.2999999999999998,0.20000000000000018,2,0,0,1,0
0,0.2999999999999998,0.6000000000000005,2,0,0,1,0
0,0.2999999999999998,1.0,2,0,0,1,0
0,0.2999999999999998,1.4000000000000004,2,0,0,1,0
0,0.2999999999999998,1.8000000000000007,2,0,0,1,0
0,0.2999999999999998,2.2,2,0,0,1,0
0,0.2999999999999998,2.6000000000000005,2,0,0,1,0
0,0.2999999999999998,3.0,2,0,0,1,0
0,0.5999999999999996,-5.0,1,0,0,1,0
0,0.5999999999999996,-4.6,1,0,0,1,0
0,0.5999999999999996,-4.2,1,0,0,1,0
0,0.5999999999999996,-3.8,1,0,0,1,0
0,0.5999999999999996,-3.4,1,0,0,1,0
0,0.5999999999999996,-3.0,1,0,0,1,0
0,0.5999999999999996,-2.5999999999999996,1,0,0,1,0
0,0.5999999999999996,-2.1999999999999997,1,0,0,1,0
0,0.5999999999999996,-1.7999999999999998,1,0,0,1,0
0,0.5999999999999996,-1.4,1,0,0,1,0
