,I_e,I_i,dom_frequ,up_space,down_space
0,-0.6666666666666665,-1.422222222222222,6.0,3.2552083333333335,5.078125
0,-0.6666666666666665,-1.3777777777777778,5.0,3.359375,6.640625
0,-0.6666666666666665,-1.3333333333333333,5.0,3.28125,6.71875
0,-0.6666666666666665,-1.2888888888888888,5.0,3.2031249999999996,6.796874999999999
0,-0.6666666666666665,-1.2444444444444445,5.0,3.046875,6.953125
0,-0.6666666666666665,-1.2,5.0,2.890625,7.109375
0,-0.6666666666666665,-1.1555555555555554,5.0,2.8125,7.187499999999999
0,-0.6666666666666665,-1.1111111111111112,5.0,2.734375,7.265625000000001
0,-0.6666666666666665,-1.0666666666666669,5.0,2.5,7.5
0,-0.6222222222222222,-2.0,6.0,4.6875,3.6458333333333335
0,-0.6222222222222222,-1.9555555555555555,6.0,4.427083333333334,3.90625
0,-0.6222222222222222,-1.9111111111111112,6.0,4.427083333333334,3.90625
0,-0.6222222222222222,-1.8666666666666667,6.0,4.296875,4.036458333333334
0,-0.6222222222222222,-1.8222222222222224,6.0,4.296875,4.036458333333334
0,-0.6222222222222222,-1.7777777777777777,6.0,4.036458333333334,4.296875
0,-0.6222222222222222,-1.7333333333333334,6.0,4.036458333333334,4.296875
0,-0.6222222222222222,-1.6888888888888889,5.0,4.375,5.625
0,-0.6222222222222222,-1.6444444444444444,5.0,4.21875,5.78125
0,-0.6222222222222222,-1.6,6.0,3.6458333333333335,4.6875
0,-0.6222222222222222,-1.5555555555555556,6.0,3.6458333333333335,4.6875
0,-0.6222222222222222,-1.511111111111111,5.0,3.90625,6.09375
0,-0.6222222222222222,-1.4666666666666668,6.0,3.515625,4.817708333333334
0,-0.6222222222222222,-1.422222222222222,5.0,3.75,6.25
0,-0.6222222222222222,-1.3777777777777778,5.0,3.5937499999999996,6.406249999999999
0,-0.6222222222222222,-1.3333333333333333,6.0,3.125,5.208333333333334
0,-0.6222222222222222,-1.2888888888888888,5.0,3.359375,6.640625
0,-0.6222222222222222,-1.2444444444444445,5.0,3.2031249999999996,6.796874999999999
0,-0.6222222222222222,-1.2,6.0,2.864583333333333,5.46875
0,-0.6222222222222222,-1.1555555555555554,5.0,3.046875,6.953125
0,-0.6222222222222222,-1.1111111111111112,5.0,2.890625,7.109375
0,-0.6222222222222222,-1.0666666666666669,5.0,2.8125,7.187499999999999
