,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0.0,0.05,20.0,1.0,0.0,0.0
1,1,0.025,70.10000000000001,0.011092368045649,0.7775750000000021,0.0031729671897289,0.22242499999999796
2,2,0.05,76.5,0.009822679738562,0.7514349999999989,0.0032492156862745,0.24856500000000117
3,3,0.075,81.55000000000001,0.0089410177805027,0.7291400000000006,0.0033213979153893,0.27085999999999943
4,4,0.1,85.75,0.0082690379008746,0.7090700000000048,0.0033927696793002,0.2909299999999953
5,5,0.125,89.30000000000001,0.0077345464725643,0.6906950000000002,0.0034636618141097,0.3093049999999999
6,6,0.15,92.4,0.007289935064935,0.6735900000000016,0.0035325757575757,0.32640999999999837
7,7,0.175,95.15,0.0069092485549132,0.6574150000000005,0.0036004729374671,0.34258499999999953
8,8,0.2,97.6,0.0065774077868852,0.6419549999999994,0.003668493852459,0.35804500000000056
9,9,0.225,99.85,0.0062789183775663,0.6269500000000015,0.0037361041562343,0.3730499999999986
10,10,0.25,101.9,0.0060109421000981,0.6125150000000024,0.0038026005888125,0.3874849999999975
11,11,0.275,103.85,0.0057604718343765,0.5982250000000034,0.0038688011555127,0.40177499999999655
12,12,0.3,105.75,0.0055258156028368,0.5843549999999985,0.0039304491725768,0.4156450000000015
13,13,0.325,2.8000000000000003,0.1737660714285714,0.48654499999999995,0.1833767857142857,0.513455
14,14,0.35,2.8000000000000003,0.1687607142857142,0.47253,0.1883821428571428,0.5274700000000001
15,15,0.375,3.0,0.1589966666666666,0.47698999999999997,0.1743366666666666,0.5230100000000001
16,16,0.4,3.0,0.1548716666666666,0.464615,0.1784616666666666,0.535385
17,17,0.425,3.1500000000000004,0.1468222222222222,0.46249,0.1706380952380952,0.53751
18,18,0.45,3.1500000000000004,0.1433730158730158,0.45162499999999994,0.1740873015873015,0.548375
19,19,0.475,3.25,0.1371261538461538,0.44565999999999995,0.1705661538461538,0.55434
20,20,0.5,3.3000000000000003,0.1346954545454545,0.4444949999999999,0.1683348484848485,0.5555050000000001
