,#time_steps,#nodes
10.0,18.0,0.0
300.0,30.0,0.0
600.0,38.0,0.0
900.0,23.0,0.0
1200.0,3.0,0.0
1500.0,31.0,0.0
1800.0,7.0,0.0
2100.0,33.0,0.0
2400.0,9.0,0.0
2700.0,33.0,0.0
3000.0,7.0,0.0
3300.0,29.0,0.0
3600.0,49.0,0.0
3900.0,17.0,0.0
4200.0,31.0,0.0
4500.0,42.0,0.0
4800.0,48.0,0.0
5100.0,49.0,0.0
5400.0,45.0,0.0
5700.0,36.0,0.0
6000.0,20.0,0.0
