,#time_steps,#nodes
10.0,39999.0,2.0
300.0,1531.0,21.0
600.0,2149.0,21.0
900.0,2624.0,21.0
1200.0,3124.0,21.0
1500.0,3306.0,21.0
1800.0,3597.0,21.0
2100.0,4011.0,21.0
2400.0,4432.0,21.0
2700.0,4556.0,21.0
3000.0,4905.0,21.0
3300.0,4896.0,21.0
3600.0,5004.0,21.0
3900.0,5637.0,21.0
4200.0,5551.0,21.0
4500.0,5555.0,21.0
4800.0,6246.0,21.0
5100.0,5972.0,18.0
5400.0,6627.0,17.0
5700.0,6534.0,18.0
6000.0,6983.0,18.0
