,b,tau_a,temp_dom_frequ,space_dom_frequ,down_duration,up_duration,down_space,up_space
0,0.0,1.0,0.025,6.0,0.0,80.0,0.06510416666666666,0.1015625
0,0.025,1.0,0.0,5.0,0.0,0.0,0.071875,0.12812500000000002
0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.07500000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.15000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.17500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.275,1.0,0.0,3.0,0.0,0.0,0.1015625,0.23177083333333334
0,0.30000000000000004,1.0,0.0,4.0,0.0,0.0,0.1015625,0.1484375
0,0.325,1.0,0.0,4.0,0.0,0.0,0.10937500000000001,0.140625
0,0.35000000000000003,1.0,0.0,3.0,0.0,0.0,0.1328125,0.20052083333333331
0,0.375,1.0,0.0,4.0,0.0,0.0,0.125,0.125
0,0.4,1.0,0.0,4.0,0.0,0.0,0.1328125,0.1171875
0,0.42500000000000004,1.0,0.0,4.0,0.0,0.0,0.140625,0.10937500000000001
0,0.45,1.0,0.025,5.0,0.0,80.0,0.10937500000000001,0.09062500000000001
0,0.47500000000000003,1.0,0.025,5.0,80.0,0.0,0.1109375,0.0890625
0,0.5,1.0,0.025,5.0,80.0,0.0,0.11562499999999999,0.084375
0,0.0,300.0,0.025,6.0,0.0,80.0,0.06510416666666666,0.1015625
0,0.025,300.0,0.8250000000000001,5.0,0.8655727272727273,1.5586696969696971,0.071875,0.12812500000000002
0,0.05,300.0,1.35,6.0,0.6063092592592592,0.8751722222222224,0.06770833333333334,0.09895833333333334
0,0.07500000000000001,300.0,1.625,5.0,0.46082153846153845,0.7699476923076923,0.075,0.125
0,0.1,300.0,1.975,6.0,0.4299582278481013,0.5827000000000001,0.0703125,0.09635416666666667
0,0.125,300.0,2.225,6.0,0.38778539325842704,0.511091011235955,0.07291666666666667,0.09375
0,0.15000000000000002,300.0,2.4000000000000004,5.0,0.33274895833333334,0.500584375,0.08125,0.11875
0,0.17500000000000002,300.0,2.6750000000000003,6.0,0.333007476635514,0.4146560747663551,0.07291666666666667,0.09375
0,0.2,300.0,2.875,6.0,0.3146156521739131,0.38103652173913044,0.07552083333333333,0.09114583333333333
0,0.225,300.0,3.0250000000000004,5.0,0.28091818181818184,0.3802388429752066,0.084375,0.11562499999999999
0,0.25,300.0,3.2,5.0,0.26965625,0.35534375,0.0859375,0.1140625
0,0.275,300.0,3.375,5.0,0.2609222222222222,0.3316703703703704,0.08750000000000001,0.11249999999999999
0,0.30000000000000004,300.0,3.5500000000000003,5.0,0.2525654929577465,0.3108147887323944,0.0890625,0.1109375
0,0.325,300.0,3.725,5.0,0.244851677852349,0.29206107382550334,0.09062500000000001,0.10937500000000001
0,0.35000000000000003,300.0,3.875,5.0,0.23954258064516132,0.27658645161290324,0.09218749999999999,0.1078125
0,0.375,300.0,4.025,5.0,0.23397888198757766,0.2629155279503106,0.0953125,0.1046875
0,0.4,300.0,4.175,5.0,0.22897485029940123,0.2500670658682635,0.0953125,0.1046875
0,0.42500000000000004,300.0,4.325,5.0,0.2246156069364162,0.2378121387283237,0.096875,0.10312500000000001
0,0.45,300.0,4.4,6.0,0.2342318181818182,0.22031363636363638,0.0859375,0.08072916666666667
0,0.47500000000000003,300.0,4.6000000000000005,5.0,0.21735434782608692,0.2174282608695652,0.1,0.1
0,0.5,300.0,4.7250000000000005,5.0,0.2144989417989418,0.20878148148148146,0.1015625,0.0984375
0,0.0,600.0,0.025,6.0,80.0,0.0,0.06510416666666666,0.1015625
0,0.025,600.0,0.675,6.0,1.1945000000000001,1.7684629629629633,0.06770833333333334,0.09895833333333334
0,0.05,600.0,0.9750000000000001,6.0,0.8390051282051282,1.2122769230769233,0.06770833333333334,0.09895833333333334
0,0.07500000000000001,600.0,1.225,6.0,0.680630612244898,0.9520224489795919,0.0703125,0.09635416666666667
0,0.1,600.0,1.425,6.0,0.5936035087719299,0.8099052631578948,0.07291666666666667,0.09375
0,0.125,600.0,1.55,5.0,0.5066693548387097,0.7836532258064517,0.078125,0.121875
0,0.15000000000000002,600.0,1.75,6.0,0.5002842857142857,0.6425728571428572,0.07291666666666667,0.09375
0,0.17500000000000002,600.0,1.875,5.0,0.4352133333333334,0.6314533333333334,0.08125,0.11875
0,0.2,600.0,2.0500000000000003,6.0,0.4422231707317073,0.5333865853658536,0.07552083333333333,0.09114583333333333
0,0.225,600.0,2.15,5.0,0.39429651162790696,0.5359360465116279,0.084375,0.11562499999999999
0,0.25,600.0,2.275,5.0,0.3795076923076923,0.49961318681318684,0.08750000000000001,0.11249999999999999
0,0.275,600.0,2.4250000000000003,6.0,0.3896072164948453,0.4351350515463917,0.078125,0.08854166666666666
0,0.30000000000000004,600.0,2.5250000000000004,5.0,0.3552633663366337,0.43681584158415837,0.09062500000000001,0.10937500000000001
0,0.325,600.0,2.6500000000000004,5.0,0.3443575471698113,0.41035943396226415,0.09062500000000001,0.10937500000000001
0,0.35000000000000003,600.0,2.75,5.0,0.33755636363636365,0.3897163636363637,0.09375,0.10625000000000001
0,0.375,600.0,2.85,5.0,0.33057982456140356,0.3711745614035088,0.09375,0.10625000000000001
0,0.4,600.0,2.975,5.0,0.3215336134453782,0.3507352941176471,0.0953125,0.1046875
0,0.42500000000000004,600.0,3.075,5.0,0.3162642276422764,0.3341422764227643,0.096875,0.10312500000000001
0,0.45,600.0,3.1500000000000004,5.0,0.31285793650793653,0.3220626984126984,0.0984375,0.1015625
0,0.47500000000000003,600.0,3.25,5.0,0.30759769230769235,0.3077869230769231,0.1,0.1
0,0.5,600.0,3.475,4.0,0.2794115107913669,0.2961280575539569,0.1171875,0.1328125
0,0.0,900.0,0.025,6.0,80.0,0.0,0.06510416666666666,0.1015625
0,0.025,900.0,0.525,5.0,1.3709000000000002,2.4386238095238095,0.0703125,0.1296875
0,0.05,900.0,0.8,6.0,1.032425,1.467575,0.06770833333333334,0.09895833333333334
0,0.07500000000000001,900.0,1.0,6.0,0.8352525000000001,1.1647475000000003,0.0703125,0.09635416666666667
0,0.1,900.0,1.175,6.0,0.7222021276595746,0.9799255319148938,0.0703125,0.09635416666666667
0,0.125,900.0,1.3,6.0,0.6631634615384615,0.875298076923077,0.07291666666666667,0.09375
0,0.15000000000000002,900.0,1.4000000000000001,5.0,0.5707696428571428,0.8578017857142858,0.0796875,0.1203125
0,0.17500000000000002,900.0,1.5250000000000001,5.0,0.5352360655737705,0.776239344262295,0.08125,0.11875
0,0.2,900.0,1.675,6.0,0.5405552238805971,0.6534746268656717,0.07552083333333333,0.09114583333333333
0,0.225,900.0,1.75,5.0,0.4865128571428572,0.6563442857142858,0.0859375,0.1140625
0,0.25,900.0,1.875,6.0,0.49703866666666663,0.569628,0.078125,0.08854166666666666
0,0.275,900.0,1.975,5.0,0.444893670886076,0.5677645569620253,0.08750000000000001,0.11249999999999999
0,0.30000000000000004,900.0,2.075,6.0,0.4607963855421688,0.5030590361445784,0.08072916666666667,0.0859375
0,0.325,900.0,2.15,6.0,0.45212906976744194,0.4781034883720931,0.08072916666666667,0.0859375
0,0.35000000000000003,900.0,2.25,6.0,0.4375677777777778,0.4513211111111111,0.08072916666666667,0.0859375
0,0.375,900.0,2.35,5.0,0.4008744680851064,0.45018936170212764,0.0953125,0.1046875
0,0.4,900.0,2.4250000000000003,5.0,0.3944185567010309,0.4303237113402062,0.0953125,0.1046875
0,0.42500000000000004,900.0,2.475,6.0,0.41181414141414147,0.39626666666666666,0.08333333333333334,0.08333333333333334
0,0.45,900.0,2.575,5.0,0.38373980582524275,0.39295922330097094,0.0984375,0.1015625
0,0.47500000000000003,900.0,2.625,6.0,0.3976476190476191,0.3642571428571429,0.0859375,0.08072916666666667
0,0.5,900.0,2.825,4.0,0.3435752212389381,0.3643893805309735,0.125,0.125
0,0.0,1200.0,0.025,6.0,0.0,80.0,0.06510416666666666,0.1015625
0,0.025,1200.0,0.5,7.0,1.74291,2.2570900000000003,0.0625,0.08035714285714285
0,0.05,1200.0,0.7000000000000001,6.0,1.1698,1.687342857142857,0.0703125,0.09635416666666667
0,0.07500000000000001,1200.0,0.875,6.0,0.9494942857142858,1.3362200000000002,0.0703125,0.09635416666666667
0,0.1,1200.0,1.0,6.0,0.8465475000000001,1.1534525000000002,0.0703125,0.09635416666666667
0,0.125,1200.0,1.125,6.0,0.7653600000000002,1.0124177777777776,0.07291666666666667,0.09375
0,0.15000000000000002,1200.0,1.225,5.0,0.6553428571428571,0.9773102040816326,0.0796875,0.1203125
0,0.17500000000000002,1200.0,1.35,6.0,0.6586555555555555,0.822825925925926,0.07552083333333333,0.09114583333333333
0,0.2,1200.0,1.4500000000000002,6.0,0.6236327586206897,0.7556775862068965,0.07552083333333333,0.09114583333333333
0,0.225,1200.0,1.5250000000000001,5.0,0.5565704918032787,0.7549049180327869,0.084375,0.11562499999999999
0,0.25,1200.0,1.625,6.0,0.571756923076923,0.6590123076923078,0.078125,0.08854166666666666
0,0.275,1200.0,1.725,6.0,0.5483289855072464,0.6110913043478262,0.078125,0.08854166666666666
0,0.30000000000000004,1200.0,1.8,6.0,0.5324208333333333,0.5786902777777777,0.08072916666666667,0.0859375
0,0.325,1200.0,1.875,6.0,0.5178026666666667,0.548864,0.08072916666666667,0.0859375
0,0.35000000000000003,1200.0,1.9500000000000002,5.0,0.4758102564102564,0.5498307692307693,0.09375,0.10625000000000001
0,0.375,1200.0,2.025,6.0,0.4911740740740741,0.4964802469135802,0.08333333333333334,0.08333333333333334
0,0.4,1200.0,2.075,6.0,0.48526385542168676,0.47859156626506033,0.08333333333333334,0.08333333333333334
0,0.42500000000000004,1200.0,2.15,6.0,0.47286976744186054,0.45736279069767444,0.08333333333333334,0.08333333333333334
0,0.45,1200.0,2.225,5.0,0.4431842696629214,0.4556921348314607,0.0984375,0.1015625
0,0.47500000000000003,1200.0,2.275,6.0,0.45855274725274725,0.4205681318681319,0.08854166666666666,0.078125
0,0.5,1200.0,2.325,6.0,0.4535612903225807,0.40665376344086024,0.08854166666666666,0.078125
0,0.0,1500.0,0.025,6.0,0.0,80.0,0.06510416666666666,0.1015625
0,0.025,1500.0,0.42500000000000004,6.0,1.901658823529412,2.804223529411765,0.06770833333333334,0.09895833333333334
0,0.05,1500.0,0.625,6.0,1.307476,1.8925240000000003,0.06770833333333334,0.09895833333333334
0,0.07500000000000001,1500.0,0.775,6.0,1.07311935483871,1.5075258064516128,0.0703125,0.09635416666666667
0,0.1,1500.0,0.9,6.0,0.938838888888889,1.2833833333333335,0.0703125,0.09635416666666667
0,0.125,1500.0,1.0250000000000001,6.0,0.8466804878048779,1.1045390243902438,0.0703125,0.09635416666666667
0,0.15000000000000002,1500.0,1.1,5.0,0.7267681818181818,1.0914136363636364,0.0796875,0.1203125
0,0.17500000000000002,1500.0,1.2000000000000002,6.0,0.7417979166666665,0.9248687499999999,0.07552083333333333,0.09114583333333333
0,0.2,1500.0,1.3,6.0,0.6966057692307693,0.8418557692307692,0.07552083333333333,0.09114583333333333
0,0.225,1500.0,1.375,6.0,0.666898181818182,0.7876472727272728,0.07552083333333333,0.09114583333333333
0,0.25,1500.0,1.4500000000000002,6.0,0.6438258620689654,0.7354844827586207,0.078125,0.08854166666666666
0,0.275,1500.0,1.5250000000000001,6.0,0.6179442622950819,0.6935311475409836,0.08072916666666667,0.0859375
0,0.30000000000000004,1500.0,1.6,6.0,0.6004875000000001,0.6495125,0.08072916666666667,0.0859375
0,0.325,1500.0,1.675,6.0,0.5797910447761194,0.6142388059701492,0.08072916666666667,0.0859375
