,b,tau_a,temp_dom_frequ,space_dom_frequ,down_duration,up_duration,down_space,up_space
0,0.0,1.0,0.0,7.0,0.0,0.0,0.06389508928571429,0.07896205357142858
0,0.025,1.0,0.0,7.0,0.0,0.0,0.06501116071428571,0.07784598214285715
0,0.05,1.0,0.0,7.0,0.0,0.0,0.06584821428571429,0.07700892857142858
0,0.07500000000000001,1.0,0.0,7.0,0.0,0.0,0.06696428571428571,0.07589285714285714
0,0.1,1.0,0.0,7.0,0.0,0.0,0.06780133928571429,0.07505580357142858
0,0.125,1.0,0.0,7.0,0.0,0.0,0.06919642857142856,0.07366071428571429
0,0.15000000000000002,1.0,0.0,7.0,0.0,0.0,0.0625,0.08035714285714285
0,0.17500000000000002,1.0,0.016666666666666666,7.0,120.0,0.0,0.0,0.14285714285714285
0,0.2,1.0,0.0,3.0,0.0,0.0,0.0,0.33333333333333337
0,0.225,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.25,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.275,1.0,0.0,4.0,0.0,0.0,0.0,0.25
0,0.30000000000000004,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.325,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.35000000000000003,1.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285
0,0.375,1.0,0.0,5.0,0.0,0.0,0.0,0.2
0,0.4,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.42500000000000004,1.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666669
0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.47500000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,300.0,0.0,7.0,0.0,0.0,0.06389508928571429,0.07896205357142858
0,0.025,300.0,0.9166666666666666,7.0,0.9887890909090911,1.1930290909090908,0.064453125,0.07840401785714285
0,0.05,300.0,1.3333333333333333,6.0,0.6296187500000001,0.87038125,0.06966145833333334,0.09700520833333333
0,0.07500000000000001,300.0,1.6833333333333333,6.0,0.5080217821782178,0.6800970297029704,0.07161458333333333,0.09505208333333334
0,0.1,300.0,1.9666666666666666,6.0,0.44212033898305086,0.574828813559322,0.072265625,0.09440104166666667
0,0.125,300.0,2.216666666666667,6.0,0.39814436090225563,0.5041112781954887,0.07356770833333333,0.09309895833333334
0,0.15000000000000002,300.0,2.45,6.0,0.3666040816326531,0.44972244897959185,0.07486979166666667,0.091796875
0,0.17500000000000002,300.0,2.6666666666666665,6.0,0.34214187500000004,0.407858125,0.076171875,0.09049479166666666
0,0.2,300.0,2.783333333333333,5.0,0.30454311377245513,0.41401976047904193,0.084765625,0.115234375
0,0.225,300.0,3.05,6.0,0.3082420765027323,0.3474956284153006,0.07877604166666666,0.087890625
0,0.25,300.0,3.216666666666667,6.0,0.2961689119170985,0.3255927461139897,0.07942708333333333,0.08723958333333333
0,0.275,300.0,3.3833333333333333,6.0,0.28556305418719213,0.30556995073891624,0.080078125,0.08658854166666667
0,0.30000000000000004,300.0,3.55,6.0,0.27593896713615024,0.2874413145539906,0.08203125,0.08463541666666667
0,0.325,300.0,3.6666666666666665,5.0,0.2534272727272728,0.29202727272727275,0.09296874999999999,0.10703125000000001
0,0.35000000000000003,300.0,3.933333333333333,7.0,0.2711110169491526,0.23736355932203393,0.076171875,0.06668526785714285
0,0.375,300.0,4.083333333333333,7.0,0.26373877551020414,0.2260571428571429,0.07672991071428571,0.06612723214285715
0,0.4,300.0,4.216666666666667,7.0,0.25824743083003954,0.21606086956521742,0.07756696428571429,0.06529017857142858
0,0.42500000000000004,300.0,4.35,7.0,0.25277318007662836,0.20699693486590043,0.07840401785714285,0.064453125
0,0.45,300.0,4.466666666666667,7.0,0.2485555970149254,0.19920559701492538,0.07924107142857142,0.06361607142857144
0,0.47500000000000003,300.0,4.583333333333333,7.0,0.2447098181818182,0.1916538181818182,0.080078125,0.06277901785714286
0,0.5,300.0,4.716666666666667,7.0,0.2400282685512368,0.184,0.08091517857142858,0.06194196428571428
0,0.0,600.0,0.0,7.0,0.0,0.0,0.06389508928571429,0.07896205357142858
0,0.025,600.0,0.7,7.0,1.291664285714286,1.5654785714285715,0.06473214285714285,0.078125
0,0.05,600.0,0.9833333333333333,6.0,0.855491525423729,1.1784067796610171,0.06966145833333334,0.09700520833333333
0,0.07500000000000001,600.0,1.2166666666666666,6.0,0.7008287671232878,0.9430068493150686,0.07096354166666667,0.095703125
0,0.1,600.0,1.4166666666666667,6.0,0.6130211764705882,0.7987435294117647,0.07291666666666667,0.09375
0,0.125,600.0,1.5833333333333333,6.0,0.559401052631579,0.7037568421052632,0.07356770833333333,0.09309895833333334
0,0.15000000000000002,600.0,1.75,6.0,0.5135352380952382,0.6293219047619049,0.07486979166666667,0.091796875
0,0.17500000000000002,600.0,1.9,6.0,0.4808605263157895,0.571771052631579,0.076171875,0.09049479166666666
0,0.2,600.0,2.033333333333333,6.0,0.45502950819672133,0.5285770491803279,0.07747395833333333,0.08919270833333333
0,0.225,600.0,2.1666666666666665,6.0,0.43406307692307694,0.48901384615384613,0.07877604166666666,0.087890625
0,0.25,600.0,2.283333333333333,6.0,0.4179912408759125,0.45792116788321163,0.07942708333333333,0.08723958333333333
0,0.275,600.0,2.4,6.0,0.40289444444444444,0.43043888888888887,0.080078125,0.08658854166666667
0,0.30000000000000004,600.0,2.5166666666666666,6.0,0.38936754966887416,0.40533443708609274,0.08138020833333334,0.08528645833333333
0,0.325,600.0,2.6166666666666667,6.0,0.3793528662420383,0.3849783439490446,0.08268229166666667,0.083984375
0,0.35000000000000003,600.0,2.716666666666667,6.0,0.3697141104294479,0.3664822085889571,0.08333333333333334,0.08333333333333334
0,0.375,600.0,2.8166666666666664,6.0,0.3607816568047338,0.3492775147928994,0.08463541666666667,0.08203125
